"Strain","SpeciesNumber","SpeciesName"
"101","8","NA"
"55152","2","NA"
"75712","1","Gardnerella vaginalis"
"3549624","1","Gardnerella vaginalis"
"007032Cmash","3","NA"
"00703Bmash","3","NA"
"00703Dmash","8","NA"
"0284V","1","Gardnerella vaginalis"
"0288E","1","Gardnerella vaginalis"
"1400E","2","NA"
"14019_MetR","1","Gardnerella vaginalis"
"1500E","10","NA"
"18-4","1","Gardnerella vaginalis"
"23-12","1","Gardnerella vaginalis"
"315-A","1","Gardnerella vaginalis"
"409-05","6","Gardnerella swidsinskii"
"41V","2","NA"
"5-1","6","Gardnerella swidsinskii"
"6119V5","9","NA"
"6420B","5","Gardnerella leopoldii"
"AMD","5","Gardnerella leopoldii"
"ATCC14018a","1","Gardnerella vaginalis"
"ATCC14018b","1","Gardnerella vaginalis"
"ATCC14018c","1","Gardnerella vaginalis"
"ATCC14019","1","Gardnerella vaginalis"
"ATCC49145","1","Gardnerella vaginalis"
"CMW7778B","12","NA"
"DNF01149","1","Gardnerella vaginalis"
"FDAARGOS_296","1","Gardnerella vaginalis"
"GED7275B","3","NA"
"GED7760B","11","NA"
"GV37","6","Gardnerella swidsinskii"
"HMP9231","1","Gardnerella vaginalis"
"JCP7275","1","Gardnerella vaginalis"
"JCP7276","1","Gardnerella vaginalis"
"JCP7659","3","NA"
"JCP7672","1","Gardnerella vaginalis"
"JCP7719","3","NA"
"JCP8017A","3","NA"
"JCP8017B","3","NA"
"JCP8066","4","Gardnerella piotii"
"JCP8070","4","Gardnerella piotii"
"JCP8108","2","NA"
"JCP8151A","4","Gardnerella piotii"
"JCP8151B","4","Gardnerella piotii"
"JCP8481A","7","NA"
"JCP8481B","7","NA"
"JCP8522","4","Gardnerella piotii"
"KA00225","13","NA"
"PSS_7772B","7","NA"
"UMB0032A","1","Gardnerella vaginalis"
"UMB0032B","1","Gardnerella vaginalis"
"UMB0061","1","Gardnerella vaginalis"
"UMB0170","6","Gardnerella swidsinskii"
"UMB0233","1","Gardnerella vaginalis"
"UMB0264","6","Gardnerella swidsinskii"
"UMB0298","1","Gardnerella vaginalis"
"UMB0386","1","Gardnerella vaginalis"
"UMB0682","5","Gardnerella leopoldii"
"UMB0768","1","Gardnerella vaginalis"
"UMB0770","1","Gardnerella vaginalis"
"UMB0775","1","Gardnerella vaginalis"
"UMB0830","3","NA"
"UMB0833","3","NA"
"UMB0912","5","Gardnerella leopoldii"
"UMB0913","5","Gardnerella leopoldii"
"UMB1642","6","Gardnerella swidsinskii"
"UMB1686","8","NA"
"KA00735","12","NA"
"30-4","5","Gardnerella leopoldii"
"DNF01162","6","Gardnerella swidsinskii"
"26-12","6","Gardnerella swidsinskii"
