SampleID	SpeciesNumber	n	propGenomospecies	Genomospecies
1000801248	6	7	0.6363636363636364	6
1000801248	9	4	0.36363636363636365	9
1000801318	6	4	1	6
1000801368	6	3	0.6	6
1000801368	9	2	0.4	9
1001301158	1	60	0.03616636528028933	1
1001301158	2	3	0.0018083182640144665	2
1001301158	3	50	0.030138637733574444	3
1001301158	4	17	0.010247136829415311	4
1001301158	5	1	6.027727546714888e-4	5
1001301158	6	65	0.03918022905364678	6
1001301158	12	1463	0.8818565400843882	12
1001301248	1	89	0.054004854368932036	1
1001301248	2	1	6.067961165048543e-4	2
1001301248	3	268	0.16262135922330098	3
1001301248	4	123	0.07463592233009708	4
1001301248	5	1	6.067961165048543e-4	5
1001301248	6	692	0.4199029126213592	6
1001301248	11	2	0.0012135922330097086	11
1001301248	12	472	0.28640776699029125	12
1001301318	1	2	0.022222222222222223	1
1001301318	3	41	0.45555555555555555	3
1001301318	4	15	0.16666666666666666	4
1001301318	5	1	0.011111111111111112	5
1001301318	6	20	0.2222222222222222	6
1001301318	12	11	0.12222222222222222	12
1001801138	5	50	0.21008403361344538	5
1001801138	6	188	0.7899159663865546	6
1001801248	5	39	0.19696969696969696	5
1001801248	6	159	0.803030303030303	6
1001801318	5	18	0.391304347826087	5
1001801318	6	28	0.6086956521739131	6
1002701138	1	18	0.045454545454545456	1
1002701138	3	53	0.13383838383838384	3
1002701138	4	13	0.03282828282828283	4
1002701138	6	309	0.7803030303030303	6
1002701138	12	3	0.007575757575757576	12
1002701158	1	8	0.041884816753926704	1
1002701158	3	17	0.08900523560209424	3
1002701158	4	3	0.015706806282722512	4
1002701158	6	159	0.8324607329842932	6
1002701158	12	4	0.020942408376963352	12
1003101118	1	10	0.02262443438914027	1
1003101118	2	4	0.00904977375565611	2
1003101118	3	18	0.04072398190045249	3
1003101118	4	408	0.9230769230769231	4
1003101118	11	2	0.004524886877828055	11
1003101188	1	5	0.7142857142857143	1
1003101188	2	2	0.2857142857142857	2
1003101278	1	4	0.8	1
1003101278	2	1	0.2	2
1004001168	1	1	0.018518518518518517	1
1004001168	5	48	0.8888888888888888	5
1004001168	13	5	0.09259259259259259	13
1004001278	5	22	0.88	5
1004001278	13	3	0.12	13
1004001348	5	32	0.8	5
1004001348	13	8	0.2	13
1005601098	1	62	1	1
1005601168	1	151	1	1
1005601348	1	59	0.9833333333333333	1
1005601348	3	1	0.016666666666666666	3
1050801308	4	1	1	4
1050835178	3	3	1	3
1060435318	6	1	1	6
1061235118	13	1	1	13
1061235188	1	1	1	1
1061635088	1	6	0.0054249547920434	1
1061635088	3	3	0.0027124773960217	3
1061635088	5	25	0.022603978300180832	5
1061635088	6	1047	0.9466546112115732	6
1061635088	8	25	0.022603978300180832	8
1061635208	1	28	0.03804347826086957	1
1061635208	5	10	0.01358695652173913	5
1061635208	6	680	0.9239130434782609	6
1061635208	8	18	0.024456521739130436	8
1061635368	1	12	0.04819277108433735	1
1061635368	5	3	0.012048192771084338	5
1061635368	6	232	0.9317269076305221	6
1061635368	13	2	0.008032128514056224	13
1062101108	1	7	0.5384615384615384	1
1062101108	3	6	0.46153846153846156	3
1062101238	1	1	0.3333333333333333	1
1062101238	3	2	0.6666666666666666	3
1062701128	1	7	0.021148036253776436	1
1062701128	2	1	0.0030211480362537764	2
1062701128	4	10	0.030211480362537766	4
1062701128	5	7	0.021148036253776436	5
1062701128	6	37	0.11178247734138973	6
1062701128	7	79	0.23867069486404835	7
1062701128	8	86	0.2598187311178248	8
1062701128	9	6	0.01812688821752266	9
1062701128	10	14	0.04229607250755287	10
1062701128	11	1	0.0030211480362537764	11
1062701128	12	56	0.1691842900302115	12
1062701128	13	27	0.08157099697885196	13
1062701298	4	8	0.14035087719298245	4
1062701298	5	48	0.8421052631578947	5
1062701298	13	1	0.017543859649122806	13
1062735148	1	3	0.0057692307692307696	1
1062735148	4	6	0.011538461538461539	4
1062735148	5	8	0.015384615384615385	5
1062735148	6	101	0.19423076923076923	6
1062735148	7	107	0.20576923076923076	7
1062735148	8	138	0.2653846153846154	8
1062735148	9	29	0.05576923076923077	9
1062735148	10	11	0.021153846153846155	10
1062735148	12	76	0.14615384615384616	12
1062735148	13	41	0.07884615384615384	13
1062735198	1	16	0.017222820236813777	1
1062735198	2	12	0.012917115177610334	2
1062735198	3	6	0.006458557588805167	3
1062735198	4	57	0.061356297093649086	4
1062735198	5	2	0.002152852529601722	5
1062735198	6	69	0.07427341227125941	6
1062735198	7	39	0.04198062432723358	7
1062735198	8	316	0.3401506996770721	8
1062735198	9	87	0.09364908503767493	9
1062735198	10	24	0.02583423035522067	10
1062735198	11	6	0.006458557588805167	11
1062735198	12	97	0.10441334768568353	12
1062735198	13	198	0.2131324004305705	13
1062901138	1	19	0.11801242236024845	1
1062901138	2	2	0.012422360248447204	2
1062901138	6	118	0.7329192546583851	6
1062901138	9	20	0.12422360248447205	9
1062901138	10	1	0.006211180124223602	10
1062901138	12	1	0.006211180124223602	12
1062901218	1	41	0.22404371584699453	1
1062901218	3	4	0.02185792349726776	3
1062901218	6	107	0.5846994535519126	6
1062901218	9	26	0.14207650273224043	9
1062901218	10	3	0.01639344262295082	10
1062901218	12	2	0.01092896174863388	12
1062901318	1	14	0.15217391304347827	1
1062901318	2	2	0.021739130434782608	2
1062901318	6	54	0.5869565217391305	6
1062901318	9	11	0.11956521739130435	9
1062901318	10	2	0.021739130434782608	10
1062901318	12	9	0.09782608695652174	12
1900401198	1	27	0.3103448275862069	1
1900401198	2	6	0.06896551724137931	2
1900401198	3	1	0.011494252873563218	3
1900401198	4	1	0.011494252873563218	4
1900401198	6	13	0.14942528735632185	6
1900401198	12	39	0.4482758620689655	12
1900401288	4	8	0.0036663611365719525	4
1900401288	5	1	4.5829514207149406e-4	5
1900401288	12	2173	0.9958753437213566	12
1900401398	1	2	0.0018181818181818182	1
1900401398	3	21	0.019090909090909092	3
1900401398	4	13	0.011818181818181818	4
1900401398	12	1064	0.9672727272727273	12
1902401118	1	4	0.02877697841726619	1
1902401118	2	5	0.03597122302158273	2
1902401118	6	130	0.935251798561151	6
1902401208	1	4	0.023529411764705882	1
1902401208	2	1	0.0058823529411764705	2
1902401208	5	1	0.0058823529411764705	5
1902401208	6	164	0.9647058823529412	6
1902401308	1	9	0.04568527918781726	1
1902401308	2	4	0.02030456852791878	2
1902401308	5	1	0.005076142131979695	5
1902401308	6	183	0.9289340101522843	6
2050501168	3	1	0.2	3
2050501168	4	2	0.4	4
2050501168	5	2	0.4	5
2050501298	5	8	1	5
2050501348	5	2	1	5
4002101198	1	50	0.026567481402763018	1
4002101198	2	179	0.0951115834218916	2
4002101198	3	9	0.004782146652497344	3
4002101198	4	36	0.019128586609989374	4
4002101198	5	2	0.0010626992561105207	5
4002101198	6	973	0.5170031880977684	6
4002101198	7	43	0.022848034006376194	7
4002101198	8	32	0.01700318809776833	8
4002101198	9	254	0.13496280552603612	9
4002101198	10	26	0.01381509032943677	10
4002101198	11	2	0.0010626992561105207	11
4002101198	12	117	0.062167906482465465	12
4002101198	13	159	0.0844845908607864	13
4002101298	3	128	0.6597938144329897	3
4002101298	4	22	0.1134020618556701	4
4002101298	8	2	0.010309278350515464	8
4002101298	9	38	0.1958762886597938	9
4002101298	10	4	0.020618556701030927	10
4002135018	1	4	5.23149359142035e-4	1
4002135018	2	14	0.0018310227569971226	2
4002135018	3	333	0.04355218414857442	3
4002135018	4	130	0.017002354172116138	4
4002135018	6	1	1.3078733978550875e-4	6
4002135018	9	212	0.027726916034527857	9
4002135018	10	6952	0.909233586188857	10
4003235018	4	80	0.41450777202072536	4
4003235018	5	109	0.56476683937823835	5
4003235018	9	4	0.02072538860103627	9
4003235288	1	34	0.2	1
4003235288	2	4	0.023529411764705882	2
4003235288	3	1	0.0058823529411764705	3
4003235288	5	1	0.0058823529411764705	5
4003235288	7	130	0.7647058823529411	7
4003235368	1	154	0.4583333333333333	1
4003235368	2	20	0.05952380952380952	2
4003235368	3	2	0.005952380952380952	3
4003235368	4	2	0.005952380952380952	4
4003235368	5	68	0.20238095238095238	5
4003235368	7	89	0.2648809523809524	7
4003235368	8	1	0.002976190476190476	8
4004235208	1	5	0.01182033096926714	1
4004235208	2	5	0.01182033096926714	2
4004235208	3	5	0.01182033096926714	3
4004235208	4	10	0.02364066193853428	4
4004235208	7	231	0.5460992907801419	7
4004235208	8	2	0.004728132387706856	8
4004235208	9	1	0.002364066193853428	9
4004235208	11	125	0.29550827423167847	11
4004235208	12	1	0.002364066193853428	12
4004235208	13	38	0.08983451536643026	13
4004235248	1	19	0.004494913650343033	1
4004235248	2	11	0.0026023184291459663	2
4004235248	3	1	2.365744026496333e-4	3
4004235248	4	23	0.005441211260941566	4
4004235248	5	8	0.0018925952211970665	5
4004235248	6	2	4.731488052992666e-4	6
4004235248	7	251	0.05938017506505796	7
4004235248	8	2	4.731488052992666e-4	8
4004235248	10	2	4.731488052992666e-4	10
4004235248	11	3382	0.8000946297610598	11
4004235248	12	17	0.0040217648450437665	12
4004235248	13	509	0.12041637094866335	13
4004235268	1	8	0.02867383512544803	1
4004235268	2	5	0.017921146953405017	2
4004235268	4	1	0.0035842293906810036	4
4004235268	5	1	0.0035842293906810036	5
4004235268	7	48	0.17204301075268819	7
4004235268	11	91	0.32616487455197135	11
4004235268	12	119	0.4265232974910394	12
4004235268	13	6	0.021505376344086023	13
