SampleID,metaphlanReads
SRR6743909,8606
SRR6743910,2790
SRR6743911,156
SRR6743912,29124
SRR6743913,387
SRR6743914,43635
SRR6743915,43
SRR6743916,32066
SRR6743917,146
SRR6743918,482
SRR6743919,218
SRR6743921,820
SRR6743922,104
SRR6743923,304
SRR6743926,325
SRR6743928,2176
SRR6743929,87
SRR6743931,289
SRR6743932,507
SRR6743934,53082
SRR6743935,3741
SRR6743937,150
SRR6743939,270
SRR6743940,636
SRR6743941,51
SRR6743942,285
SRR6743944,22392
SRR6743945,6
SRR6743947,883
SRR6743948,80
SRR6743951,229
SRR6743952,381
SRR6743953,531
SRR6743954,31098
SRR6743955,339
SRR6743956,46
SRR6743957,80
SRR6743958,602
SRR6743959,4516
SRR6743961,69
SRR6743962,16605
SRR6743963,1026
SRR6743964,40135
SRR6743969,1863
SRR6743970,1100
SRR6743972,3609
SRR6743973,1497
SRR6743976,5621
SRR6743980,22251
SRR6743982,127350
SRR6743983,27423
SRR6743985,59
SRR6743986,72
SRR6743987,222
SRR6743988,770
SRR6743989,2883
SRR6743991,251
SRR6743992,142
SRR6743994,53
SRR6743997,525
SRR6743998,41
SRR6743999,406
SRR6744000,53044
SRR6744001,1006
SRR6744002,57036
SRR6744003,27
SRR6744004,74
SRR6744005,28
SRR6744006,5101
SRR6744007,136
SRR6744009,7341
SRR6744010,338
SRR6744011,440
SRR6744012,1972
SRR6744014,304
SRR6744015,804
SRR6744016,127
SRR6744017,508
SRR6744019,64
SRR6744020,135182
SRR6744022,18590
SRR6744023,146202
SRR6744025,4
SRR6744027,98
SRR6744028,3958
SRR6744031,6023
SRR6744033,79
SRR6744034,189
SRR6744036,48089
SRR6744037,4692
SRR6744039,201
SRR6744040,131
SRR6744041,47264
SRR6744042,204
SRR6744043,60167
SRR6744044,324
SRR6744045,42
SRR6744046,79572
SRR6744048,63
SRR6744049,115
SRR6744050,3290
SRR6744051,5459
SRR6744052,50800
SRR6744053,684
SRR6744054,188
SRR6744061,134
SRR6744062,1682
