	1000801248	1000801318	1000801368	1001301158	1001301248	1001301318	1001801138	1001801248	1001801318	1002701138	1002701158	1002701278	1003101188	1003101278	1004001168	1004001278	1004001348	1005601098	1005601168	1005601348	1061235188	1061635088	1061635208	1061635368	1062101108	1062101238	1062101338	1062601228	1062701298	1062901138	1062901218	1062901318	1900401198	1900401288	1900401398	1902401118	1902401208	1902401308	2050501168	2050501298	2050501348	4002101198	4002101298	4002135018	4003235018	4003235288	4003235368	4004235208	4004735328	4004735368	4005935278	4005935328	4006935248	4006935358	4007135148	4007135288	4007235168	4007235278	4007435168	4007435258	4007535198	4008434348	4008435158	4009035168	4009035268	4009835178	4009835228	4009835268	REF_007032Cmash	REF_00703Bmash	REF_00703Dmash	REF_0284V	REF_0288E	REF_101	REF_1400E	REF_14019_MetR	REF_1500E	REF_18-4	REF_23-12	REF_26-12	REF_30-4	REF_315-A	REF_3549624	REF_409-05	REF_41V	REF_5-1	REF_55152	REF_6119V5	REF_6420B	REF_75712	REF_AMD	REF_ATCC14018a	REF_ATCC14018b	REF_ATCC14018c	REF_ATCC14019	REF_ATCC49145	REF_CMW7778B	REF_DNF01149	REF_DNF01162	REF_FDAARGOS_296	REF_GED7275B	REF_GED7760B	REF_GV37	REF_HMP9231	REF_JCP7275	REF_JCP7276	REF_JCP7659	REF_JCP7672	REF_JCP7719	REF_JCP8017A	REF_JCP8017B	REF_JCP8066	REF_JCP8070	REF_JCP8108	REF_JCP8151A	REF_JCP8151B	REF_JCP8481A	REF_JCP8481B	REF_JCP8522	REF_KA00735	REF_PSS_7772B	REF_UMB0032A	REF_UMB0032B	REF_UMB0061	REF_UMB0170	REF_UMB0233	REF_UMB0264	REF_UMB0298	REF_UMB0386	REF_UMB0682	REF_UMB0768	REF_UMB0770	REF_UMB0775	REF_UMB0830	REF_UMB0833	REF_UMB0912	REF_UMB0913	REF_UMB1642	REF_UMB1686
Int-Tn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aaaT	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
accA1	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0
accA1_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
accC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
accD5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0
accD5_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ackA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ackA_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acpS	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0
