ID	1000801248_metaphlan_bugs_list	1000801318_metaphlan_bugs_list	1000801368_metaphlan_bugs_list	1001301158_metaphlan_bugs_list	1001301248_metaphlan_bugs_list	1001301318_metaphlan_bugs_list	1001801138_metaphlan_bugs_list	1001801248_metaphlan_bugs_list	1001801318_metaphlan_bugs_list	1002701138_metaphlan_bugs_list	1002701158_metaphlan_bugs_list	1002701278_metaphlan_bugs_list	1003101118_metaphlan_bugs_list	1003101188_metaphlan_bugs_list	1003101278_metaphlan_bugs_list	1004001168_metaphlan_bugs_list	1004001278_metaphlan_bugs_list	1004001348_metaphlan_bugs_list	1005601098_metaphlan_bugs_list	1005601168_metaphlan_bugs_list	1005601348_metaphlan_bugs_list	1050801308_metaphlan_bugs_list	1050801318_metaphlan_bugs_list	1050835178_metaphlan_bugs_list	1050835218_metaphlan_bugs_list	1060435158_metaphlan_bugs_list	1060435318_metaphlan_bugs_list	1060435348_metaphlan_bugs_list	1060801198_metaphlan_bugs_list	1060801338_metaphlan_bugs_list	1060835148_metaphlan_bugs_list	1061235118_metaphlan_bugs_list	1061235188_metaphlan_bugs_list	1061235278_metaphlan_bugs_list	1061635088_metaphlan_bugs_list	1061635208_metaphlan_bugs_list	1061635368_metaphlan_bugs_list	1062101108_metaphlan_bugs_list	1062101238_metaphlan_bugs_list	1062101338_metaphlan_bugs_list	1062301128_metaphlan_bugs_list	1062301198_metaphlan_bugs_list	1062335178_metaphlan_bugs_list	1062601228_metaphlan_bugs_list	1062601258_metaphlan_bugs_list	1062601368_metaphlan_bugs_list	1062701128_metaphlan_bugs_list	1062701298_metaphlan_bugs_list	1062735148_metaphlan_bugs_list	1062735198_metaphlan_bugs_list	1062901138_metaphlan_bugs_list	1062901218_metaphlan_bugs_list	1062901318_metaphlan_bugs_list	1900401198_metaphlan_bugs_list	1900401288_metaphlan_bugs_list	1900401398_metaphlan_bugs_list	1902401118_metaphlan_bugs_list	1902401208_metaphlan_bugs_list	1902401308_metaphlan_bugs_list	2050501168_metaphlan_bugs_list	2050501298_metaphlan_bugs_list	2050501348_metaphlan_bugs_list	4002101198_metaphlan_bugs_list	4002101298_metaphlan_bugs_list	4002135018_metaphlan_bugs_list	4003235018_metaphlan_bugs_list	4003235288_metaphlan_bugs_list	4003235368_metaphlan_bugs_list	4004235208_metaphlan_bugs_list	4004235248_metaphlan_bugs_list	4004235268_metaphlan_bugs_list	4004735328_metaphlan_bugs_list	4004735368_metaphlan_bugs_list	4004935158_metaphlan_bugs_list	4004935268_metaphlan_bugs_list	4004935338_metaphlan_bugs_list	4005935278_metaphlan_bugs_list	4005935328_metaphlan_bugs_list	4005935358_metaphlan_bugs_list	4006635198_metaphlan_bugs_list	4006635258_metaphlan_bugs_list	4006635278_metaphlan_bugs_list	4006635338_metaphlan_bugs_list	4006935208_metaphlan_bugs_list	4006935248_metaphlan_bugs_list	4006935358_metaphlan_bugs_list	4007135108_metaphlan_bugs_list	4007135118_metaphlan_bugs_list	4007135148_metaphlan_bugs_list	4007135288_metaphlan_bugs_list	4007235168_metaphlan_bugs_list	4007235278_metaphlan_bugs_list	4007435168_metaphlan_bugs_list	4007435248_metaphlan_bugs_list	4007435258_metaphlan_bugs_list	4007535198_metaphlan_bugs_list	4007535238_metaphlan_bugs_list	4007535358_metaphlan_bugs_list	4008434348_metaphlan_bugs_list	4008435158_metaphlan_bugs_list	4008435358_metaphlan_bugs_list	4009035168_metaphlan_bugs_list	4009035268_metaphlan_bugs_list	4009035368_metaphlan_bugs_list	4009835178_metaphlan_bugs_list	4009835228_metaphlan_bugs_list	4009835268_metaphlan_bugs_list
k__Bacteria	99.68521	100.0	100.0	100.0	100.0	100.0	99.7773	100.0	100.0	99.97438	100.0	99.87592	100.0	99.9058	100.0	100.0	99.93437	100.0	99.99842	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	96.57754	88.26731	98.71421	100.0	100.0	100.0	99.9739	100.0	100.0	100.0	99.89017	100.0	99.44809	99.99268	100.0	100.0	100.0	100.0	99.98555	100.0	100.0	100.0	100.0	99.99891	100.0	100.0	98.53629	99.13481	99.74742	97.42857	95.22025	100.0	100.0	99.97421	99.99393	99.97987	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.81982	99.99303	100.0	100.0	99.85115	99.99216	97.97407	100.0	99.88365	100.0	100.0	100.0	99.97859	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.57519	100.0	97.65064	99.88471	99.60537	100.0	99.99812	100.0	100.0	100.0	100.0	99.99481	93.45018	99.89042
k__Bacteria|p__Actinobacteria	36.10516	21.88211	31.27904	75.54907	72.63405	70.40684	27.80914	55.21466	64.99631	94.74286	99.33162	31.36421	93.63914	96.68299	96.69853	58.85752	27.29455	23.41863	52.08522	81.71762	33.28707	0.24179	0.0	0.96308	0.0	0.31775	0.39448	0.26154	0.38062	0.0	0.0	0.62256	19.75688	1.7509	92.57854	91.31562	82.35721	98.38767	94.78601	97.90886	0.0	3.83099	1.59669	18.24305	6.69889	2.14956	79.22794	23.12708	78.98226	74.13085	75.61241	69.20127	67.82544	25.71567	30.8812	22.09749	77.51545	92.06363	85.72401	17.91548	15.53147	14.62865	76.16673	68.08877	86.81432	52.98859	81.3341	69.75977	68.73633	81.12829	73.46822	46.74003	59.99378	83.55885	84.28028	79.14944	73.76389	23.68091	0.3788	88.62397	85.42932	93.15401	55.61631	75.61904	95.15988	80.65525	71.28479	68.3386	40.21201	28.76042	96.07114	99.17344	57.07538	89.93637	54.63742	45.77377	0.0	83.84675	22.36293	54.9582	0.84934	93.33783	91.40673	83.79828	49.2857	43.14303	51.94573
k__Bacteria|p__Actinobacteria|c__Actinobacteria	36.10516	21.88211	31.27904	75.54907	72.63405	70.40684	27.80914	55.21466	64.99631	94.74286	99.33162	31.36421	93.63914	96.68299	96.69853	58.85752	27.29455	23.41863	52.08522	81.71762	33.28707	0.24179	0.0	0.96308	0.0	0.31775	0.39448	0.26154	0.38062	0.0	0.0	0.62256	19.75688	1.7509	92.57854	91.31562	82.35721	98.38767	94.78601	97.90886	0.0	3.83099	1.59669	18.24305	6.69889	2.14956	79.22794	23.12708	78.98226	74.13085	75.61241	69.20127	67.82544	25.71567	30.8812	22.09749	77.51545	92.06363	85.72401	17.91548	15.53147	14.62865	76.16673	68.08877	86.81432	52.98859	81.3341	69.75977	68.73633	81.12829	73.46822	46.74003	59.99378	83.55885	84.28028	79.14944	73.76389	23.68091	0.3788	88.62397	85.42932	93.15401	55.61631	75.61904	95.15988	80.65525	71.28479	68.3386	40.21201	28.76042	96.07114	99.17344	57.07538	89.93637	54.63742	45.77377	0.0	83.84675	22.36293	54.9582	0.84934	93.33783	91.40673	83.79828	49.2857	43.14303	51.94573
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0	0.0	0.0	0.02901	0.10024	0.20499	8.51642	4.24748	10.71562	0.09405	0.0	0.0	0.31525	0.0	0.0	0.01203	0.0	0.0	7.60967	5.82822	9.09731	0.00534	0.0	0.0	0.0	0.31775	0.0	0.00887	0.38062	0.0	0.0	0.43048	0.69063	0.03283	0.0	0.0	0.0008	0.11646	0.05299	0.0	0.0	2.38313	1.59669	0.0	0.0	0.0	0.28051	3.58053	0.01853	0.00154	0.0	0.00349	0.0	0.0	0.01651	0.0014	0.33688	0.57919	0.37612	1.16359	2.65725	0.9778	0.02856	0.0	0.03227	0.38256	0.0	0.07694	0.0	0.02661	0.0	7.12744	4.38245	1.01336	0.74544	0.16486	0.0	0.14349	0.0	0.27841	0.02328	0.0537	0.0	0.00128	0.01814	0.00255	0.0	0.09734	0.0	0.00894	0.0	0.0	0.00126	0.03169	0.0	0.0	0.0	0.0	0.0	0.00273	0.84934	0.00752	0.10945	0.09593	10.7541	5.32214	13.5351
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.0	0.0	0.0	0.02901	0.10024	0.20499	4.52434	3.06746	9.08377	0.0	0.0	0.0	0.03941	0.0	0.0	0.0	0.0	0.0	0.34827	0.02416	8.94435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35509	0.0	0.0	0.0	0.0	0.22651	0.70392	0.01853	0.00154	0.0	0.00349	0.0	0.0	0.01651	0.0	0.28191	0.45818	0.15602	0.0	0.3812	0.06314	0.0	0.0	0.0046	0.0	0.0	0.02747	0.0	0.01745	0.0	0.27613	2.59636	0.00537	0.08063	0.04483	0.0	0.07858	0.0	0.10852	0.0	0.01666	0.0	0.00128	0.01814	0.00255	0.0	0.06894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00273	0.12891	0.00752	0.04883	0.04916	5.09665	1.49291	1.14248
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	0.0	0.0	0.0	0.0	0.0	0.0	1.18171	0.21375	0.21968	0.0	0.0	0.0	0.03266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15113	0.11158	0.0	0.0	0.0	0.0	0.04982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87177	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10396	0.0	0.0	0.0	0.0	0.0	0.04982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52703	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_massiliense|t__GCF_000315465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10396	0.0	0.0	0.0	0.0	0.0	0.04982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52703	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_schaalii	0.0	0.0	0.0	0.0	0.0	0.0	1.18171	0.21375	0.21968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04717	0.11158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03697	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_schaalii|t__GCF_000411135	0.0	0.0	0.0	0.0	0.0	0.0	1.18171	0.21375	0.21968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04717	0.11158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03697	0.0	0.0
