Sample uploadCount1 uploadCount2 uploadCountS filteredCount1 filteredCount2 filteredCountS
1061235188 17702560 17702560 281720 17618324 17618324 259524
1061235278 20665180 20665180 276808 20567596 20567596 253016
1061635368 22383592 22383592 717804 22300024 22300024 697340
1061235118 22738100 22738100 525840 22651944 22651944 504364
1062601258 43506560 43506560 4769656 10143776 10143776 129004
1002701158 44075276 44075276 5051636 12072308 12072308 547360
1001801318 45317956 45317956 5154596 13863832 13863832 470856
1000801318 49208996 49208996 5461680 11030312 11030312 203392
4002101298 48988880 48988880 5352468 14927980 14927980 950312
1062601368 51593968 51593968 5583280 11287648 11287648 275248
2050501348 52215272 52215272 5920548 13378612 13378612 357004
1000801368 49408804 49408804 6974792 13190792 13190792 233520
1061635088 33904852 33904852 1551328 33845956 33845956 1535132
1062301128 48629104 48629104 5439784 11679124 11679124 244040
1062901138 51033864 51033864 5472268 15636156 15636156 737396
1902401308 51200016 51200016 5775896 15404124 15404124 614232
2050501298 52313892 52313892 6088776 14761880 14761880 489268
1002701138 49095224 49095224 5861324 17081924 17081924 967360
1061635208 33323948 33323948 1191460 33241852 33241852 1172148
1062335178 51139436 51139436 6080528 13810836 13810836 209012
2050501168 56461280 56461280 6393444 13919184 13919184 356744
1062901218 51893616 51893616 5731024 18292320 18292320 983128
1000801248 58110092 58110092 6009296 13976576 13976576 213064
1001301318 53803592 53803592 7179620 14737028 14737028 349888
1003101278 56855924 56855924 6761264 15961036 15961036 344120
1062701298 52263144 52263144 6365300 16566484 16566484 674268
1062101338 52504392 52504392 5868560 12535864 12535864 225500
1902401118 56212084 56212084 6108276 18498544 18498544 876652
1062901318 58790856 58790856 6327580 17407996 17407996 569692
1902401208 59501564 59501564 6649900 17362932 17362932 562324
1062301198 49702324 49702324 5743012 15132216 15132216 607816
1003101118 55773712 55773712 6311160 20560652 20560652 1141552
1001301158 54766876 54766876 6262380 24709660 24709660 1729892
1062735148 51462780 51462780 5475980 27466364 27466364 2307076
1002701278 67954664 67954664 7475940 17354264 17354264 356096
1003101188 65535568 65535568 7471652 19360252 19360252 434312
1004001168 63975700 63975700 7860812 18790108 18790108 721648
1900401398 57576056 57576056 6510644 27653536 27653536 1976228
4002101198 55591668 55591668 5951616 29816828 29816828 2311696
1900401288 58900692 58900692 6206932 31770896 31770896 2503012
1001801248 68596688 68596688 7528952 23599420 23599420 1210536
1062101108 58256008 58256008 6481176 18082600 18082600 491760
1062101238 58757388 58757388 7179588 15734004 15734004 308484
4004735328 43828052 43828052 5024224 13539952 13539952 671768
1900401198 70337444 70337444 7796984 43631212 43631212 3838840
4004935338 47075084 47075084 4535272 17973848 17973848 1193016
1062601228 66112380 66112380 7135884 17642784 17642784 208164
1060801338 44079528 44079528 5412832 12608448 12608448 316624
4007135108 47759956 47759956 4865628 17424144 17424144 970916
4004235268 61555032 61555032 6285932 19988716 19988716 874004
4006635278 46521144 46521144 2478944 46484872 46484872 2467392
1001801138 71476880 71476880 8175772 46796356 46796356 4805968
4007435258 59309128 59309128 6482432 16012780 16012780 289980
1050801318 52449284 52449284 5994884 14486748 14486748 368588
1050801308 52683984 52683984 5883388 16957476 16957476 581944
4003235288 47633996 47633996 5318160 12903636 12903636 476336
1062701128 76649168 76649168 8446832 27389508 27389508 1847556
4007535238 53574424 53574424 5738420 12512956 12512956 211836
4007135118 50760884 50760884 5358000 25852052 25852052 2142564
4004235248 63682532 63682532 6838448 36031692 36031692 3015844
4008434348 52101628 52101628 5825676 13553688 13553688 246800
4005935328 46164736 46164736 4834516 13459176 13459176 424596
1004001278 55047892 55047892 6954764 15775488 15775488 565160
1050835178 51525064 51525064 6117560 13479248 13479248 546724
1060435318 56557944 56557944 6516156 16101204 16101204 309952
4007235278 24713652 24713652 821392 24637168 24637168 800780
4007235168 28345604 28345604 380644 28207800 28207800 346752
4006635338 23383000 23383000 245724 23270072 23270072 217628
4005935278 41829712 41829712 4098412 15303896 15303896 1018580
4004735368 71544304 71544304 7607060 15466900 15466900 416512
1004001348 62808952 62808952 7233428 20468944 20468944 799820
4008435158 53577868 53577868 5975708 34493668 34493668 3329288
1001301248 88828472 88828472 10707200 44650920 44650920 3518652
4008435358 66369152 66369152 7499688 18492944 18492944 392196
4004935268 48967832 48967832 4731872 19887136 19887136 1614100
4006635198 39360988 39360988 2040608 39326868 39326868 2029776
4006935358 47655640 47655640 5007928 19401876 19401876 1200592
1050835218 60827776 60827776 6963104 17613192 17613192 505824
