Sample uploadCount1 uploadCount2 uploadCountS filteredCount1 filteredCount2 filteredCountS
1061235118 22738100 22738100 525840 4793884 4793884 500452
1060801198 42772872 42772872 4620336 1035392 1035392 321660
1061235188 17702560 17702560 281720 1428392 1428392 256500
1060801338 44079528 44079528 5412832 780488 780488 346188
1050835178 51525064 51525064 6117560 2974932 2974932 571744
1050801318 52449284 52449284 5994884 1976344 1976344 393380
1004001278 55047892 55047892 6954764 3082436 3082436 599860
1060435348 53945124 53945124 6079596 2449796 2449796 402420
1050801308 52683984 52683984 5883388 3939220 3939220 609408
1060435318 56557944 56557944 6516156 1395248 1395248 337280
1002701158 44075276 44075276 5051636 3815852 3815852 566664
1000801318 49208996 49208996 5461680 646080 646080 225208
1000801368 49408804 49408804 6974792 730336 730336 270352
1001801318 45317956 45317956 5154596 2445136 2445136 496344
1050835218 60827776 60827776 6963104 2754844 2754844 534864
1001301318 53803592 53803592 7179620 1100564 1100564 391316
1060435158 66075584 66075584 7314252 1521808 1521808 377420
1003101278 56855924 56855924 6761264 1201276 1201276 376180
1002701138 49095224 49095224 5861324 7406572 7406572 989836
1003101118 55773712 55773712 6311160 9626608 9626608 1163092
1060835148 69933688 69933688 7668760 1822676 1822676 462192
1061235278 20665180 20665180 276808 857636 857636 248968
1003101188 65535568 65535568 7471652 1902972 1902972 465380
1001301158 54766876 54766876 6262380 15177608 15177608 1749384
1002701278 67954664 67954664 7475940 723168 723168 386820
1004001168 63975700 63975700 7860812 3577084 3577084 789232
1001801248 68596688 68596688 7528952 9169524 9169524 1248484
1004001348 62808952 62808952 7233428 5827424 5827424 835732
1062335178 51139436 51139436 6080528 403820 403820 233376
1062601258 43506560 43506560 4769656 181160 181160 145084
1001801138 71476880 71476880 8175772 39162136 39162136 4823160
1062601368 51593968 51593968 5583280 1244672 1244672 296520
1001301248 88828472 88828472 10707200 29895480 29895480 3564984
1062601228 66112380 66112380 7135884 431352 431352 234496
1062701298 52263144 52263144 6365300 4066612 4066612 700020
1062901138 51033864 51033864 5472268 6277816 6277816 755412
1005601168 67649296 67649296 7436536 24700244 24700244 2745688
1061635368 22383592 22383592 717804 9214812 9214812 695904
1005601098 72672288 72672288 8200720 26523864 26523864 3142748
1062901318 58790856 58790856 6327580 3985156 3985156 593516
1061635088 33904852 33904852 1551328 23694192 23694192 1532804
1062301128 48629104 48629104 5439784 925236 925236 264248
1062301198 49702324 49702324 5743012 3677672 3677672 635004
1062101338 52504392 52504392 5868560 758384 758384 246516
1062101108 58256008 58256008 6481176 3213548 3213548 517620
1062101238 58757388 58757388 7179588 1169240 1169240 333968
1902401118 56212084 56212084 6108276 6826556 6826556 899580
1902401208 59501564 59501564 6649900 3922656 3922656 588572
1062735148 51462780 51462780 5475980 21332216 21332216 2321220
2050501168 56461280 56461280 6393444 914180 914180 392028
1902401308 51200016 51200016 5775896 4861748 4861748 634712
2050501298 52313892 52313892 6088776 2428244 2428244 517024
1062901218 51893616 51893616 5731024 8569452 8569452 1005956
1005601348 70694500 70694500 8039344 70306704 70306704 7984852
1900401398 57576056 57576056 6510644 17674956 17674956 1999044
2050501348 52215272 52215272 5920548 1319408 1319408 381268
4004735328 43828052 43828052 5024224 4131376 4131376 695204
1900401288 58900692 58900692 6206932 24099484 24099484 2521740
1062701128 76649168 76649168 8446832 15572240 15572240 1887328
4002101298 48988880 48988880 5352468 7671916 7671916 974048
4003235288 47633996 47633996 5318160 3386936 3386936 497464
1062735198 82645020 82645020 8991104 19180424 19180424 2234396
4005935328 46164736 46164736 4834516 3086672 3086672 444984
4004935158 53157048 53157048 5682892 6643400 6643400 957276
4006635338 23383000 23383000 245724 324156 324156 214604
4003235368 51159736 51159736 5047372 11153616 11153616 1136084
4002101198 55591668 55591668 5951616 21728884 21728884 2336308
1900401198 70337444 70337444 7796984 34652652 34652652 3857724
4005935278 41829712 41829712 4098412 11048592 11048592 1033756
4004235268 61555032 61555032 6285932 7650228 7650228 901132
4004935338 47075084 47075084 4535272 11613220 11613220 1210680
4004935268 48967832 48967832 4731872 14094256 14094256 1632492
4005935358 67027680 67027680 7447976 2272060 2272060 477588
4004735368 71544304 71544304 7607060 1832104 1832104 450584
4002135018 61046912 61046912 6624720 18886192 18886192 2095852
4004235208 58296836 58296836 6349920 11098308 11098308 1285432
4006935358 47655640 47655640 5007928 10994908 10994908 1217268
4007235168 28345604 28345604 380644 1378544 1378544 341016
4004235248 63682532 63682532 6838448 27981996 27981996 3034376
4007135108 47759956 47759956 4865628 8657008 8657008 992556
4003235018 104109176 104109176 12139604 9609504 9609504 1400496
4007135118 50760884 50760884 5358000 20341672 20341672 2162324
4007135288 48531212 48531212 5074552 6839648 6839648 785868
4007235278 24713652 24713652 821392 11008304 11008304 796640
4006635258 50494212 50494212 4897508 23133552 23133552 2248072
4006635198 39360988 39360988 2040608 33997232 33997232 2027352
4006935248 82833440 82833440 9221512 13865552 13865552 1741128
4006935208 65657540 65657540 6307348 24933660 24933660 2538972
4007435258 59309128 59309128 6482432 417452 417452 319248
4008435358 66369152 66369152 7499688 1213912 1213912 429736
4007535238 53574424 53574424 5738420 505720 505720 233564
4007535198 69675204 69675204 7523012 1462624 1462624 412068
4009835228 40602056 40602056 3740988 11956448 11956448 1223528
4008434348 52101628 52101628 5825676 846312 846312 269472
4006635278 46521144 46521144 2478944 40933984 40933984 2465488
4007435168 53479620 53479620 5771828 23046948 23046948 2552284
4007135148 57513128 57513128 6118236 27704328 27704328 2966344
4007435248 50396580 50396580 5012676 18219600 18219600 2003840
4007535358 56137924 56137924 6060292 18113652 18113652 2069096
4009035168 55901792 55901792 5485780 25663760 25663760 2597432
4009035368 53102260 53102260 5732348 18721136 18721136 2051644
4009835268 54508480 54508480 5878152 21620320 21620320 2798004
4008435158 53577868 53577868 5975708 29185336 29185336 3349536
4009835178 71269304 71269304 8957988 62609924 62609924 8084796
4009035268 97590672 97590672 10472720 54399708 54399708 5882532
1061635208 33323948 33323948 1191460 16757528 16757528 1169224
1000801248 58110092 58110092 6009296 0 0 0
