SampleID	Clade	n	propClade
1000801248	C1	2	0.00546448087431694
1000801248	C2	6	0.01639344262295082
1000801248	C3	5	0.01366120218579235
1000801248	C4	353	0.9644808743169399
1000801318	C2	1	0.006666666666666667
1000801318	C4	149	0.9933333333333333
1000801368	C1	1	0.004
1000801368	C2	2	0.008
1000801368	C3	4	0.016
1000801368	C4	243	0.972
1001301158	C1	2578	0.10317777955655166
1001301158	C2	393	0.015728808132554232
1001301158	C3	2	8.004482510205715e-5
1001301158	C4	2329	0.09321219883134556
1001301158	C5	19684	0.7878011686544465
1001301248	C1	4984	0.13751621002676379
1001301248	C2	1825	0.050354551223684575
1001301248	C3	4	1.1036613966834975e-4
1001301248	C4	23703	0.6540021521397236
1001301248	C5	5727	0.15801672047015974
1001301318	C1	35	0.03277153558052434
1001301318	C2	290	0.27153558052434457
1001301318	C3	1	9.363295880149813e-4
1001301318	C4	504	0.47191011235955055
1001301318	C5	238	0.22284644194756553
1001801138	C1	68	0.011865294015006108
1001801138	C2	14	0.002442854650148316
1001801138	C3	130	0.022683650322805792
1001801138	C4	5519	0.9630082010120398
1001801248	C1	33	0.00617861823628534
1001801248	C2	2	3.744617112900206e-4
1001801248	C3	120	0.022467702677401235
1001801248	C4	5184	0.9706047556637334
1001801248	C5	2	3.744617112900206e-4
1001801318	C1	9	0.005984042553191489
1001801318	C2	2	0.0013297872340425532
1001801318	C3	28	0.018617021276595744
1001801318	C4	1465	0.9740691489361702
1002701138	C1	2589	0.25454724215907976
1002701138	C2	350	0.034411562284927734
1002701138	C4	7157	0.7036672893520795
1002701138	C5	71	0.006980631206371055
1002701138	C6	4	3.932749975420313e-4
1002701158	C1	1740	0.3210332103321033
1002701158	C2	186	0.034317343173431734
1002701158	C3	2	3.6900369003690036e-4
1002701158	C4	3455	0.6374538745387454
1002701158	C5	30	0.005535055350553505
1002701158	C6	7	0.0012915129151291514
1002701278	C1	183	0.9289340101522843
1002701278	C2	14	0.07106598984771574
1003101118	C1	8247	0.71756721482641606
1003101118	C2	3245	0.28234577568955016
1003101118	C3	1	8.700948403375968e-5
1003101188	C1	2852	0.9289902280130293
1003101188	C2	218	0.07100977198697069
1003101278	C1	1636	0.9206527855936972
1003101278	C2	141	0.07934721440630275
1004001168	C3	13	0.0032663316582914573
1004001168	C4	3939	0.9896984924623116
1004001168	C6	28	0.007035175879396985
1004001278	C3	3	0.0018039687312086591
1004001278	C4	1647	0.9903788334335538
1004001278	C6	13	0.007817197835237523
1004001348	C1	3	0.0010416666666666667
1004001348	C2	4	0.001388888888888889
1004001348	C3	12	0.004166666666666667
1004001348	C4	2834	0.9840277777777777
1004001348	C6	27	0.009375
1005601098	C1	8341	0.9770411151458358
1005601098	C2	196	0.022958884854164228
1005601168	C1	21485	0.9793062582615434
1005601168	C2	454	0.02069374173845663
1005601348	C1	7309	0.9810738255033558
1005601348	C2	141	0.018926174496644296
1050801308	C2	3	0.23076923076923078
1050801308	C4	10	0.7692307692307693
1050835178	C2	11	0.39285714285714285
1050835178	C3	16	0.5714285714285714
1050835178	C4	1	0.03571428571428571
1050835218	C3	1	1
1060435158	C1	1	1
1060435318	C1	4	0.5
1060435318	C4	4	0.5
1060435348	C2	2	0.2222222222222222
1060435348	C4	7	0.7777777777777778
1061235118	C3	5	0.3333333333333333
1061235118	C4	7	0.4666666666666667
1061235118	C5	1	0.06666666666666667
1061235118	C6	2	0.13333333333333333
1061235188	C1	203	0.8638297872340426
1061235188	C2	5	0.02127659574468085
1061235188	C3	5	0.02127659574468085
1061235188	C4	20	0.0851063829787234
1061235188	C6	2	0.00851063829787234
1061235278	C1	3	0.25
1061235278	C3	5	0.4166666666666667
1061235278	C4	2	0.16666666666666666
1061235278	C6	2	0.16666666666666666
1061635088	C1	1486	0.04180851363137608
1061635088	C2	32	9.003179247671834e-4
1061635088	C3	734	0.02065104239934727
1061635088	C4	33289	0.9365838561742115
1061635088	C5	2	5.626987029794896e-5
1061635208	C1	4725	0.17636519726773917
1061635208	C2	3	1.1197790302713598e-4
1061635208	C3	438	0.01634877384196185
1061635208	C4	21623	0.8070993990519204
1061635208	C6	2	7.465193535142399e-5
1061635368	C1	2190	0.23211446740858505
1061635368	C2	3	3.179650238473768e-4
1061635368	C3	128	0.013566507684154743
1061635368	C4	7110	0.753577106518283
1061635368	C6	4	4.2395336512983573e-4
1062101108	C1	3916	0.9929006085192698
1062101108	C2	28	0.007099391480730223
1062101238	C1	618	0.9919743178170144
1062101238	C2	5	0.008025682182985553
1062101338	C1	453	0.9869281045751634
1062101338	C2	6	0.013071895424836602
1062301198	C5	1	1
1062601228	C1	89	1
1062601258	C1	12	1
1062601368	C1	37	1
1062701128	C1	255	0.05734202833370812
1062701128	C2	29	0.006521250281088374
1062701128	C3	2862	0.6435799415336182
1062701128	C4	255	0.05734202833370812
1062701128	C5	1002	0.22532044074657073
1062701128	C6	44	0.0098943107713065
1062701298	C1	2	9.017132551848512e-4
1062701298	C2	23	0.010369702434625788
1062701298	C3	18	0.008115419296663661
1062701298	C4	2157	0.972497745716862
1062701298	C6	18	0.008115419296663661
1062735148	C1	139	0.02316280619896684
1062735148	C2	37	0.006165639060156641
1062735148	C3	4393	0.7320446592234627
1062735148	C4	399	0.06648891851358107
1062735148	C5	951	0.15847358773537742
1062735148	C6	82	0.013664389268455257
1062735198	C1	433	0.07057864710676447
1062735198	C2	243	0.03960880195599022
1062735198	C3	3098	0.5049714751426243
1062735198	C4	413	0.06731866340668297
1062735198	C5	1433	0.23357783211083943
1062735198	C6	515	0.08394458027709861
1062901138	C1	1401	0.24991080984659295
1062901138	C2	23	0.004102747056724938
1062901138	C3	22	0.00392436674991081
1062901138	C4	4109	0.7329646806992508
1062901138	C5	51	0.009097395647520514
1062901218	C1	1967	0.3128180661577608
1062901218	C2	62	0.009860050890585241
1062901218	C3	30	0.004770992366412214
1062901218	C4	4194	0.6669847328244275
1062901218	C5	35	0.00556615776081425
1062901318	C1	465	0.1755379388448471
1062901318	C2	22	0.008305020762551907
1062901318	C3	13	0.004907512268780672
1062901318	C4	1953	0.7372593431483578
1062901318	C5	196	0.07399018497546243
1900401198	C1	4281	0.7088922006954794
1900401198	C2	140	0.023182646133465806
1900401198	C3	4	6.62361318099023e-4
1900401198	C4	986	0.16327206491140916
1900401198	C5	628	0.10399072694154661
1900401288	C1	163	0.004882139754994459
1900401288	C2	91	0.002725611765058256
1900401288	C3	1061	0.031778836073920985
1900401288	C4	4	1.1980711055201126e-4
1900401288	C5	32068	0.9604936052954743
1900401398	C1	195	0.011154968251244207
1900401398	C2	192	0.01098335335507122
1900401398	C3	637	0.03643956295406441
1900401398	C4	5	2.860248269549797e-4
1900401398	C5	16452	0.9411360906126652
1902401118	C1	615	0.1484789956542733
1902401118	C2	14	0.003380009657170449
1902401118	C3	1	2.4142926122646064e-4
1902401118	C4	3512	0.8478995654273298
1902401208	C1	343	0.07376344086021505
1902401208	C2	20	0.004301075268817204
1902401208	C3	2	4.3010752688172043e-4
1902401208	C4	4285	0.921505376344086
1902401308	C1	1108	0.18982353948946376
1902401308	C2	23	0.003940380332362515
1902401308	C3	3	5.139626520472845e-4
1902401308	C4	4702	0.8055507966421107
1902401308	C6	1	1.7132088401576153e-4
2050501168	C1	1	0.00847457627118644
2050501168	C2	26	0.22033898305084745
2050501168	C4	91	0.7711864406779662
2050501298	C2	8	0.01809954751131222
2050501298	C3	8	0.01809954751131222
2050501298	C4	426	0.9638009049773756
2050501348	C2	17	0.0625
2050501348	C3	2	0.007352941176470588
2050501348	C4	253	0.9301470588235294
4002101198	C1	2347	0.11496448689688954
4002101198	C2	602	0.029488121479304432
4002101198	C3	2489	0.12192015674748959
4002101198	C4	12615	0.6179279941219692
4002101198	C5	1906	0.09336272348763164
4002101198	C6	456	0.02233651726671565
4002101298	C1	5	0.002174858634188778
4002101298	C2	2039	0.8869073510221835
4002101298	C3	89	0.03871248368856024
4002101298	C4	166	0.07220530665506741
