SampleID	Genomospecies	n	propGenomospecies
1000801248	GS1	2	0.013422818791946308
1000801248	GS10	1	0.006711409395973154
1000801248	GS6	146	0.9798657718120806
1000801318	GS5	1	0.016129032258064516
1000801318	GS6	61	0.9838709677419355
1000801368	GS1	1	0.008695652173913044
1000801368	GS10	1	0.008695652173913044
1000801368	GS5	3	0.02608695652173913
1000801368	GS6	110	0.9565217391304348
1001301158	GS1	865	0.08151149641914814
1001301158	GS12	8425	0.7939125518281192
1001301158	GS2	123	0.011590652091971354
1001301158	GS3	96	0.009046362608367886
1001301158	GS4	70	0.006596306068601583
1001301158	GS5	26	0.0024500565397663023
1001301158	GS6	1005	0.0947041085563513
1001301158	GS9	2	1.8846588767433095e-4
1001301248	GS1	1816	0.12242146420385601
1001301248	GS11	3	2.0223810165835243e-4
1001301248	GS12	2433	0.16401510044492382
1001301248	GS2	203	0.013684778212215181
1001301248	GS3	511	0.034447889982472696
1001301248	GS4	276	0.018605905352568425
1001301248	GS5	167	0.011257920992314952
1001301248	GS6	9424	0.6352972900094378
1001301248	GS9	1	6.741270055278414e-5
1001301318	GS1	19	0.04578313253012048
1001301318	GS12	89	0.21445783132530122
1001301318	GS2	1	0.0024096385542168677
1001301318	GS3	77	0.1855421686746988
1001301318	GS4	39	0.09397590361445783
1001301318	GS5	2	0.004819277108433735
1001301318	GS6	187	0.4506024096385542
1001301318	GS8	1	0.0024096385542168677
1001801138	GS1	29	0.012658227848101266
1001801138	GS10	12	0.005237887385421213
1001801138	GS2	2	8.729812309035355e-4
1001801138	GS5	384	0.16761239633347882
1001801138	GS6	1855	0.8096900916630293
1001801138	GS8	9	0.00392841553906591
1001801248	GS1	21	0.00994789199431549
1001801248	GS10	4	0.0018948365703458077
1001801248	GS12	1	4.737091425864519e-4
1001801248	GS5	277	0.13121743249644718
1001801248	GS6	1807	0.8559924206537186
1001801248	GS8	1	4.737091425864519e-4
1001801318	GS1	7	0.011513157894736841
1001801318	GS10	4	0.006578947368421052
1001801318	GS5	110	0.18092105263157895
1001801318	GS6	485	0.7976973684210527
1001801318	GS8	2	0.003289473684210526
1002701138	GS1	843	0.19971570717839374
1002701138	GS12	23	0.00544894574745321
1002701138	GS2	80	0.018952854773750295
1002701138	GS3	51	0.012082444918265814
1002701138	GS4	49	0.011608623548922056
1002701138	GS5	43	0.010187159440890783
1002701138	GS6	3132	0.7420042643923241
1002701158	GS1	527	0.2393278837420527
1002701158	GS12	16	0.007266121707538601
1002701158	GS2	66	0.02997275204359673
1002701158	GS3	23	0.01044504995458674
1002701158	GS4	36	0.01634877384196185
1002701158	GS5	19	0.00862851952770209
1002701158	GS6	1515	0.6880108991825613
1002701278	GS1	55	0.8461538461538461
1002701278	GS2	6	0.09230769230769231
1002701278	GS3	2	0.03076923076923077
1002701278	GS4	2	0.03076923076923077
1003101118	GS1	2597	0.6091954022988506
1003101118	GS11	2	4.691531785127844e-4
1003101118	GS2	325	0.07623739150832747
1003101118	GS3	495	0.11611541168191415
1003101118	GS4	844	0.19798264133239502
1003101188	GS1	922	0.8080631025416302
1003101188	GS2	132	0.11568799298860649
1003101188	GS3	83	0.07274320771253287
1003101188	GS4	4	0.0035056967572304996
1003101278	GS1	524	0.8012232415902141
1003101278	GS2	83	0.12691131498470948
1003101278	GS3	46	0.07033639143730887
1003101278	GS4	1	0.0015290519877675841
1004001168	GS13	28	0.01694915254237288
1004001168	GS5	1599	0.9679176755447942
1004001168	GS6	12	0.007263922518159807
1004001168	GS9	13	0.007869249394673124
1004001278	GS13	13	0.0197869101978691
1004001278	GS5	636	0.9680365296803652
1004001278	GS6	6	0.0091324200913242
1004001278	GS9	2	0.0030441400304414
1004001348	GS1	3	0.0024793388429752068
1004001348	GS13	27	0.02231404958677686
1004001348	GS3	4	0.003305785123966942
1004001348	GS5	1155	0.9545454545454546
1004001348	GS6	9	0.00743801652892562
1004001348	GS9	12	0.009917355371900827
1005601098	GS1	3159	0.8992314261315115
1005601098	GS2	163	0.04639908909763735
1005601098	GS3	190	0.05408482778252206
1005601098	GS4	1	2.846569883290635e-4
1005601168	GS1	7804	0.9068092028817104
1005601168	GS2	359	0.04171508250058099
1005601168	GS3	439	0.05101092261213107
1005601168	GS4	4	4.6479200557750407e-4
1005601348	GS1	2713	0.915008431703204
1005601348	GS2	114	0.038448566610455315
1005601348	GS3	137	0.04620573355817875
1005601348	GS4	1	3.372681281618887e-4
