SampleID	Clade	n	propClade
1000801248	4	48	0.8888888888888888
1000801318	4	17	0.85
1000801368	4	43	0.8958333333333334
1001301158	5	2840	0.8208092485549133
1001301248	4	2989	0.5836750634641672
1001301318	2	165	0.6573705179282868
1001801138	4	659	0.8845637583892617
1001801248	4	552	0.8888888888888888
1001801318	4	153	0.9107142857142857
1002701138	4	1208	0.826265389876881
1002701158	4	600	0.8486562942008486
1002701278	1	5	1
1003101118	2	965	0.8788706739526412
1003101188	1	37	1
1003101278	1	20	1
1004001168	4	127	0.9548872180451128
1004001278	4	60	0.9523809523809523
1004001348	4	87	0.9157894736842105
1005601098	1	216	0.9953917050691244
1005601168	1	487	1
1005601348	1	162	1
1050801308	2	1	1
1050801318	2	1	1
1050835178	2	7	0.6363636363636364
1060435318	4	1	1
1060435348	4	1	1
1061235118	4	3	0.5
1061235118	6	3	0.5
1061235188	1	5	0.8333333333333334
1061235278	6	2	1
1061635088	4	4555	0.9479708636836629
1061635208	4	3110	0.9128265336072792
1061635368	4	935	0.8947368421052632
1062101108	1	146	0.948051948051948
1062101238	1	29	0.9354838709677419
1062101338	1	24	1
1062701128	3	678	0.6390197926484449
1062701298	4	116	0.8787878787878788
1062735148	3	1008	0.700486448922863
1062735198	3	1263	0.5264693622342643
1062901138	4	271	0.7569832402234636
1062901218	4	291	0.5926680244399185
1062901318	4	134	0.708994708994709
1900401198	4	146	0.4124293785310734
1900401288	5	4504	0.9914153642967203
1900401398	5	2207	0.9574837310195228
1902401118	4	286	0.896551724137931
1902401208	4	350	0.958904109589041
1902401308	4	424	0.902127659574468
2050501168	2	13	0.6842105263157895
2050501298	4	19	0.95
2050501348	4	18	0.9473684210526315
4002101198	4	1990	0.4301772589710333
4002101298	2	821	0.8914223669923995
4002135018	3	16280	0.8935726439431363
4003235018	4	417	0.6196136701337296
4003235288	3	877	0.8498062015503876
4003235368	3	616	0.4125920964501005
4004235208	3	1160	0.7245471580262336
4004235248	2	7578	0.7292147806004619
4004235268	3	285	0.375
4004735328	1	151	0.648068669527897
4004735368	1	80	0.5128205128205128
4004935158	6	360	0.49113233287858116
4004935268	6	2334	0.5889477668433005
4004935338	3	399	0.4907749077490775
4005935278	2	1371	0.7706576728499157
4005935328	4	86	0.6231884057971014
4005935358	2	2	1
4006635198	6	4849	0.5263786365610074
4006635258	3	2339	0.44223860843259594
4006635278	6	4568	0.4719983467658607
4006635338	6	3	0.42857142857142855
4006935208	6	3723	0.6944599888080581
4006935248	3	6395	0.7053049520238227
4006935358	3	2683	0.7506994963626189
4007135108	6	317	0.428958051420839
4007135118	3	1936	0.514073287307488
4007135148	3	2765	0.5822278374394609
4007135288	3	614	0.4606151537884471
4007235168	1	23	0.71875
4007235278	1	404	0.8278688524590164
4007435168	3	1276	0.4667154352596928
4007435248	3	3770	0.6928873368866018
4007435258	4	11	0.4583333333333333
4007535198	1	83	1
4007535358	2	4105	0.6252856054836253
4008434348	2	9	0.5
4008434348	4	9	0.5
4008435158	3	5006	0.9098509632860778
4009035168	4	2008	0.4455291768360328
4009035268	2	11199	0.7877743387732132
4009035368	2	2569	0.7829929899420909
4009835178	3	9676	0.9477911646586346
4009835228	3	4423	0.9360846560846561
4009835268	3	4706	0.9661260521453501
