SampleID	SpeciesNumber	n	propGenomospecies	Genomospecies
1000801248	5	3	0.024390243902439025	5
1000801248	6	120	0.975609756097561	6
1000801318	6	42	1	6
1000801368	1	1	0.01020408163265306	1
1000801368	5	1	0.01020408163265306	5
1000801368	6	95	0.9693877551020408	6
1000801368	10	1	0.01020408163265306	10
1001301158	1	511	0.0812271498966778	1
1001301158	2	9	0.001430615164520744	2
1001301158	3	106	0.016849467493244317	3
1001301158	4	5	7.947862025115244e-4	4
1001301158	5	12	0.0019074868860276585	5
1001301158	6	355	0.05642982037831823	6
1001301158	10	4	6.358289620092195e-4	10
1001301158	12	5289	0.8407248450166905	12
1001301248	1	1062	0.16578207930065564	1
1001301248	2	9	0.001404932875429285	2
1001301248	3	570	0.08897908211052138	3
1001301248	4	45	0.007024664377146425	4
1001301248	5	84	0.013112706837339994	5
1001301248	6	3010	0.46987199500468313	6
1001301248	8	1	1.5610365282547612e-4	8
1001301248	10	34	0.005307524196066188	10
1001301248	11	3	4.683109584764284e-4	11
1001301248	12	1588	0.24789260068685606	12
1001301318	1	15	0.0625	1
1001301318	3	93	0.3875	3
1001301318	4	6	0.025	4
1001301318	5	2	0.008333333333333333	5
1001301318	6	59	0.24583333333333332	6
1001301318	12	65	0.2708333333333333	12
1001801138	1	16	0.014883720930232559	1
1001801138	2	2	0.0018604651162790699	2
1001801138	5	7	0.0065116279069767444	5
1001801138	6	1039	0.9665116279069768	6
1001801138	7	1	9.302325581395349e-4	7
1001801138	10	10	0.009302325581395349	10
1001801248	1	14	0.014084507042253521	1
1001801248	5	8	0.008048289738430584	5
1001801248	6	960	0.96579476861167	6
1001801248	7	4	0.004024144869215292	7
1001801248	8	1	0.001006036217303823	8
1001801248	10	7	0.007042253521126761	10
1001801318	1	1	0.003861003861003861	1
1001801318	5	2	0.007722007722007722	5
1001801318	6	254	0.9806949806949807	6
1001801318	10	2	0.007722007722007722	10
1002701138	1	747	0.2392696989109545	1
1002701138	2	85	0.027226137091607944	2
1002701138	3	44	0.014093529788597053	3
1002701138	4	23	0.007367072389493914	4
1002701138	5	7	0.002242152466367713	5
1002701138	6	2197	0.7037155669442665	6
1002701138	12	19	0.006085842408712364	12
1002701158	1	430	0.25717703349282295	1
1002701158	2	61	0.03648325358851675	2
1002701158	3	14	0.008373205741626795	3
1002701158	4	5	0.0029904306220095694	4
1002701158	5	4	0.0023923444976076554	5
1002701158	6	1149	0.687200956937799	6
1002701158	8	3	0.0017942583732057417	8
1002701158	12	6	0.0035885167464114833	12
1002701278	1	50	0.8771929824561403	1
1002701278	2	7	0.12280701754385964	2
1003101118	1	2267	0.7226649665285304	1
1003101118	2	192	0.06120497290404845	2
1003101118	3	209	0.06662416321326108	3
1003101118	4	469	0.14950589735416003	4
1003101188	1	858	0.9215896885069818	1
1003101188	2	73	0.07841031149301826	2
1003101278	1	484	0.8996282527881041	1
1003101278	2	54	0.10037174721189591	2
1004001168	5	1309	0.9901664145234493	5
1004001168	6	7	0.00529500756429652	6
1004001168	7	1	7.564296520423601e-4	7
1004001168	13	5	0.0037821482602118004	13
1004001278	5	500	0.9920634920634921	5
1004001278	6	1	0.001984126984126984	6
1004001278	13	3	0.005952380952380952	13
1004001348	5	836	0.982373678025852	5
1004001348	6	5	0.005875440658049354	6
1004001348	7	2	0.0023501762632197414	7
1004001348	13	8	0.009400705052878966	13
1005601098	1	1696	0.934435261707989	1
1005601098	2	75	0.04132231404958678	2
1005601098	3	5	0.0027548209366391185	3
1005601098	4	25	0.013774104683195593	4
1005601098	9	3	0.001652892561983471	9
1005601098	10	8	0.004407713498622589	10
1005601098	11	3	0.001652892561983471	11
1005601168	1	4341	0.9317450096587251	1
1005601168	2	211	0.045288688559776774	2
1005601168	3	3	6.43915003219575e-4	3
1005601168	4	57	0.012234385061171926	4
1005601168	10	33	0.0070830650354153256	10
1005601168	11	14	0.0030049366816913502	11
1005601348	1	1530	0.9375	1
1005601348	2	65	0.03982843137254902	2
1005601348	3	1	6.127450980392157e-4	3
1005601348	4	25	0.015318627450980392	4
1005601348	10	9	0.0055147058823529415	10
1005601348	11	2	0.0012254901960784314	11
1050801308	4	1	0.14285714285714285	4
1050801308	5	6	0.8571428571428571	5
1050835178	3	4	0.5	3
1050835178	7	4	0.5	7
1060435158	1	1	1	1
1060435318	1	2	0.5	1
1060435318	3	1	0.25	3
1060435318	6	1	0.25	6
1060435348	3	1	0.5	3
1060435348	4	1	0.5	4
1061235118	7	1	0.5	7
1061235118	13	1	0.5	13
1061235188	1	73	0.8902439024390244	1
1061235188	2	2	0.024390243902439025	2
1061235188	6	4	0.04878048780487805	6
1061235188	7	3	0.036585365853658534	7
1061235278	1	2	1	1
1061635088	1	379	0.05255130338325014	1
1061635088	2	52	0.007210205213533	2
1061635088	3	14	0.0019412090959511925	3
1061635088	4	12	0.0016638935108153079	4
1061635088	5	1569	0.2175540765391015	5
1061635088	6	5036	0.6982806433721576	6
1061635088	8	105	0.014559068219633943	8
1061635088	9	3	4.1597337770382697e-4	9
1061635088	10	40	0.005546311702717693	10
1061635088	11	1	1.3865779256794233e-4	11
1061635088	13	1	1.3865779256794233e-4	13
1061635208	1	1295	0.2269540834209604	1
1061635208	2	74	0.012968804766912022	2
1061635208	3	6	0.0010515247108307045	3
1061635208	4	6	0.0010515247108307045	4
1061635208	5	956	0.16754293725902558	5
1061635208	6	3263	0.5718541885734315	6
1061635208	7	3	5.257623554153522e-4	7
1061635208	8	72	0.012618296529968454	8
1061635208	10	31	0.005432877672625307	10
1061635368	1	599	0.27886405959031657	1
1061635368	2	42	0.019553072625698324	2
1061635368	3	2	9.31098696461825e-4	3
1061635368	4	3	0.0013966480446927375	4
1061635368	5	337	0.1568901303538175	5
1061635368	6	1126	0.5242085661080075	6
1061635368	8	22	0.010242085661080074	8
1061635368	10	16	0.0074487895716946	10
1061635368	13	1	4.655493482309125e-4	13
1062101108	1	1128	0.891699604743083	1
1062101108	2	118	0.0932806324110672	2
1062101108	3	5	0.003952569169960474	3
1062101108	4	14	0.011067193675889328	4
1062101238	1	224	0.9256198347107438	1
1062101238	2	16	0.06611570247933884	2
1062101238	4	2	0.008264462809917356	4
1062101338	1	148	0.896969696969697	1
1062101338	2	15	0.09090909090909091	2
1062101338	3	1	0.006060606060606061	3
1062101338	4	1	0.006060606060606061	4
1062601228	1	22	1	1
1062601258	1	3	0.75	1
1062601258	2	1	0.25	2
1062601368	1	14	1	1
1062701128	1	21	0.01721311475409836	1
1062701128	2	56	0.04590163934426229	2
1062701128	3	5	0.004098360655737705	3
1062701128	4	14	0.011475409836065573	4
1062701128	5	50	0.040983606557377046	5
1062701128	6	6	0.004918032786885246	6
1062701128	7	677	0.5549180327868852	7
1062701128	8	118	0.09672131147540984	8
1062701128	9	11	0.009016393442622951	9
1062701128	10	15	0.012295081967213115	10
1062701128	12	234	0.1918032786885246	12
1062701128	13	13	0.010655737704918032	13
1062701298	1	3	0.0057361376673040155	1
1062701298	3	1	0.0019120458891013384	3
1062701298	4	14	0.02676864244741874	4
1062701298	5	499	0.9541108986615678	5
1062701298	6	4	0.0076481835564053535	6
1062701298	7	1	0.0019120458891013384	7
1062701298	13	1	0.0019120458891013384	13
1062735148	1	16	0.008854454897620365	1
1062735148	2	27	0.014941892639734366	2
1062735148	4	15	0.008301051466519093	4
1062735148	5	63	0.034864416159380185	5
1062735148	6	14	0.00774764803541782	6
1062735148	7	1131	0.6258992805755396	7
1062735148	8	204	0.11289429994465966	8
1062735148	9	27	0.014941892639734366	9
1062735148	10	13	0.007194244604316547	10
1062735148	12	266	0.14720531267293857	12
1062735148	13	31	0.01715550636413946	13
1062735198	1	53	0.03002832861189802	1
1062735198	2	120	0.0679886685552408	2
1062735198	3	23	0.013031161473087818	3
1062735198	4	100	0.056657223796033995	4
1062735198	5	39	0.02209631728045326	5
1062735198	6	11	0.006232294617563739	6
1062735198	7	391	0.22152974504249293	7
1062735198	8	364	0.20623229461756373	8
1062735198	9	64	0.036260623229461754	9
1062735198	10	30	0.0169971671388102	10
1062735198	11	1	5.665722379603399e-4	11
1062735198	12	425	0.24079320113314448	12
1062735198	13	144	0.08158640226628895	13
1062901138	1	399	0.22129783693843594	1
1062901138	2	42	0.02329450915141431	2
1062901138	3	2	0.0011092623405435386	3
1062901138	5	27	0.014975041597337771	5
1062901138	6	1320	0.7321131447587355	6
1062901138	8	1	5.546311702717693e-4	8
1062901138	12	12	0.0066555740432612314	12
1062901218	1	534	0.270516717325228	1
1062901218	2	50	0.025329280648429583	2
1062901218	3	7	0.0035460992907801418	3
1062901218	4	6	0.00303951367781155	4
1062901218	5	16	0.008105369807497468	5
1062901218	6	1345	0.6813576494427558	6
1062901218	8	1	5.065856129685917e-4	8
1062901218	12	15	0.007598784194528876	12
1062901318	1	127	0.15319662243667068	1
1062901318	2	11	0.013268998793727383	2
1062901318	3	5	0.006031363088057901	3
1062901318	5	6	0.007237635705669481	5
1062901318	6	621	0.7490952955367913	6
1062901318	12	59	0.07117008443908324	12
1900401198	1	1055	0.6440781440781441	1
