SampleID	Clade	n	propClade
1000801248	3	6	0.1111111111111111
1000801248	4	48	0.8888888888888888
1000801318	3	3	0.15
1000801318	4	17	0.85
1000801368	3	5	0.10416666666666667
1000801368	4	43	0.8958333333333334
1001301158	1	112	0.03236994219653179
1001301158	2	228	0.06589595375722543
1001301158	3	5	0.001445086705202312
1001301158	4	275	0.07947976878612717
1001301158	5	2840	0.8208092485549133
1001301248	1	222	0.043350908025776215
1001301248	2	1062	0.20738137082601055
1001301248	4	2989	0.5836750634641672
1001301248	5	848	0.16559265768404607
1001301318	1	2	0.00796812749003984
1001301318	2	165	0.6573705179282868
1001301318	4	63	0.250996015936255
1001301318	5	21	0.08366533864541832
1001801138	1	6	0.008053691275167786
1001801138	3	80	0.10738255033557047
1001801138	4	659	0.8845637583892617
1001801248	1	3	0.004830917874396135
1001801248	3	66	0.10628019323671498
1001801248	4	552	0.8888888888888888
1001801318	3	15	0.08928571428571429
1001801318	4	153	0.9107142857142857
1002701138	1	103	0.0704514363885089
1002701138	2	142	0.09712722298221614
1002701138	4	1208	0.826265389876881
1002701138	5	8	0.005471956224350205
1002701138	6	1	6.839945280437756e-4
1002701158	1	60	0.08486562942008487
1002701158	2	37	0.05233380480905234
1002701158	4	600	0.8486562942008486
1002701158	5	10	0.014144271570014143
1002701278	1	5	1
1003101118	1	132	0.12021857923497267
1003101118	2	965	0.8788706739526412
1003101118	3	1	9.107468123861566e-4
1003101188	1	37	1
1003101278	1	20	1
1004001168	1	1	0.007518796992481203
1004001168	4	127	0.9548872180451128
1004001168	6	5	0.03759398496240601
1004001278	4	60	0.9523809523809523
1004001278	6	3	0.047619047619047616
1004001348	4	87	0.9157894736842105
1004001348	6	8	0.08421052631578947
1005601098	1	216	0.9953917050691244
1005601098	2	1	0.004608294930875576
1005601168	1	487	1
1005601348	1	162	1
1050801308	2	1	1
1050801318	2	1	1
1050835178	2	7	0.6363636363636364
1050835178	3	4	0.36363636363636365
1060435318	4	1	1
1060435348	4	1	1
1061235118	4	3	0.5
1061235118	6	3	0.5
1061235188	1	5	0.8333333333333334
1061235188	6	1	0.16666666666666666
