SampleID	Clade	n	propClade
1000801248	C3	4	0.013513513513513514
1000801248	C4	292	0.9864864864864865
1000801318	C4	127	1
1000801368	C1	1	0.004291845493562232
1000801368	C3	3	0.012875536480686695
1000801368	C4	228	0.9785407725321889
1000801368	C6	1	0.004291845493562232
1001301158	C1	2144	0.11023703018150033
1001301158	C2	327	0.01681320376368965
1001301158	C3	4	2.056661010848887e-4
1001301158	C4	1238	0.06365365828577305
1001301158	C5	15736	0.8090904416679521
1001301248	C1	4173	0.19269486516438863
1001301248	C2	1711	0.07900812707794606
1001301248	C3	37	0.0017085334318433692
1001301248	C4	11157	0.5151920945696343
1001301248	C5	4577	0.21135020317694866
1001301248	C6	1	4.6176579239009974e-5
1001301318	C1	35	0.04723346828609987
1001301318	C2	267	0.3603238866396761
1001301318	C4	237	0.31983805668016196
1001301318	C5	202	0.2726045883940621
1001801138	C1	51	0.013198757763975156
1001801138	C3	57	0.014751552795031056
1001801138	C4	3748	0.9699792960662525
1001801138	C6	8	0.002070393374741201
1001801248	C1	31	0.008463008463008462
1001801248	C3	64	0.017472017472017473
1001801248	C4	3564	0.972972972972973
1001801248	C6	4	0.001092001092001092
1001801318	C1	2	0.0021253985122210413
1001801318	C3	13	0.01381509032943677
1001801318	C4	926	0.9840595111583422
1002701138	C1	2284	0.24604115049014327
1002701138	C2	230	0.02477647312291285
1002701138	C4	6712	0.7230421200043089
1002701138	C5	56	0.006032532586448347
1002701138	C6	1	1.0772379618657762e-4
1002701158	C1	1437	0.29720785935884175
1002701158	C2	82	0.016959669079627714
1002701158	C3	3	6.204756980351603e-4
1002701158	C4	3286	0.6796277145811789
1002701158	C5	26	0.005377456049638056
1002701158	C6	1	2.0682523267838676e-4
1002701278	C1	154	0.9808917197452229
1002701278	C2	2	0.012738853503184714
1002701278	C4	1	0.006369426751592357
1003101118	C1	7152	0.7915882678472607
1003101118	C2	1882	0.2083010514665191
1003101118	C3	1	1.1068068622025456e-4
1003101188	C1	2475	0.9995961227786753
1003101188	C2	1	4.038772213247173e-4
1003101278	C1	1399	1
1004001168	C3	1	3.0102347983142685e-4
1004001168	C4	3315	0.99789283564118
1004001168	C6	6	0.001806140878988561
1004001278	C4	1352	0.9955817378497791
1004001278	C6	6	0.004418262150220913
1004001348	C3	2	8.88494002665482e-4
1004001348	C4	2241	0.9955575299866726
1004001348	C6	8	0.003553976010661928
1005601098	C1	6939	0.9936989832450236
1005601098	C2	33	0.004725762566232279
1005601098	C3	11	0.0015752541887440927
1005601168	C1	18169	0.9941453272050776
1005601168	C2	74	0.004049026045086452
1005601168	C3	33	0.0018056467498358503
1005601348	C1	6067	0.9939384010484927
1005601348	C2	28	0.0045871559633027525
1005601348	C3	9	0.001474442988204456
1050801308	C2	1	0.07142857142857142
1050801308	C4	13	0.9285714285714286
1050801318	C2	1	1
1050835178	C2	8	0.2962962962962963
1050835178	C3	19	0.7037037037037037
1050835218	C3	1	1
1060435158	C1	1	1
1060435318	C1	2	0.5
1060435318	C2	2	0.5
1060435348	C2	5	0.8333333333333334
1060435348	C4	1	0.16666666666666666
1061235118	C3	3	0.42857142857142855
1061235118	C4	1	0.14285714285714285
1061235118	C6	3	0.42857142857142855
1061235188	C1	203	0.8903508771929824
1061235188	C3	3	0.013157894736842105
1061235188	C4	21	0.09210526315789473
1061235188	C6	1	0.0043859649122807015
1061235278	C1	6	0.4
1061235278	C3	3	0.2
1061235278	C4	4	0.26666666666666666
1061235278	C6	2	0.13333333333333333
1061635088	C1	1192	0.05965667384014814
1061635088	C2	46	0.0023021870777238376
1061635088	C3	148	0.007407036684850608
1061635088	C4	18586	0.9301836744907662
1061635088	C5	1	5.004754516790951e-5
1061635088	C6	8	4.003803613432761e-4
1061635208	C1	3820	0.24010056568196103
1061635208	C2	13	8.170961659333752e-4
1061635208	C3	107	0.006725329981143935
1061635208	C4	11968	0.7522313010685103
1061635208	C6	2	1.257071024512885e-4
1061635368	C1	1809	0.30928363822875704
1061635368	C2	5	8.548469823901521e-4
1061635368	C3	39	0.006667806462643187
1061635368	C4	3994	0.6828517695332535
1061635368	C6	2	3.4193879295606086e-4
1062101108	C1	3549	0.994396189408798
1062101108	C2	20	0.005603810591202018
1062101238	C1	631	0.9968404423380727
1062101238	C2	2	0.00315955766192733
1062101338	C1	523	0.9961904761904762
1062101338	C2	2	0.0038095238095238095
1062301198	C5	1	1
1062601228	C1	91	1
1062601258	C1	7	1
1062601368	C1	26	1
1062701128	C1	244	0.06997418984800688
1062701128	C2	32	0.009176942930886148
1062701128	C3	2230	0.6395182104961284
1062701128	C4	160	0.045884714654430746
1062701128	C5	781	0.22397476340694006
1062701128	C6	40	0.011471178663607686
1062701298	C1	3	0.0021551724137931034
1062701298	C2	27	0.01939655172413793
1062701298	C3	1	7.183908045977011e-4
1062701298	C4	1360	0.9770114942528736
1062701298	C6	1	7.183908045977011e-4
1062735148	C1	131	0.027678005493344603
1062735148	C2	26	0.005493344601732516
1062735148	C3	3465	0.7320938094231988
1062735148	C4	245	0.051764208747094864
1062735148	C5	795	0.1679695753222058
1062735148	C6	71	0.01500105641242341
1062735198	C1	442	0.08409436834094368
1062735198	C2	252	0.04794520547945205
1062735198	C3	2663	0.5066590563165906
1062735198	C4	265	0.05041856925418569
1062735198	C5	1208	0.2298325722983257
1062735198	C6	426	0.08105022831050228
1062901138	C1	1303	0.2613841524573721
1062901138	C2	6	0.0012036108324974925
1062901138	C3	23	0.004613841524573721
1062901138	C4	3612	0.7245737211634905
1062901138	C5	41	0.008224674022066199
1062901218	C1	1870	0.3272663633181659
1062901218	C2	38	0.006650332516625832
1062901218	C3	30	0.005250262513125656
1062901218	C4	3748	0.655932796639832
1062901218	C5	28	0.004900245012250612
1062901318	C1	469	0.20391304347826086
1062901318	C2	6	0.0026086956521739132
