SampleID	Clade	n	propClade
6743909	C1	11	0.013819095477386936
6743909	C2	2	0.002512562814070352
6743909	C3	588	0.7386934673366834
6743909	C4	195	0.2449748743718593
6743910	C1	3	0.02127659574468085
6743910	C2	4	0.028368794326241134
6743910	C4	130	0.9219858156028369
6743910	C5	4	0.028368794326241134
6743911	C4	7	1
6743912	C1	904	0.43503368623676614
6743912	C2	246	0.11838306063522618
6743912	C3	2	9.624639076034649e-4
6743912	C4	845	0.4066410009624639
6743912	C5	81	0.03897978825794033
6743913	C4	15	1
6743914	C1	360	0.23856858846918488
6743914	C2	16	0.010603048376408217
6743914	C3	4	0.0026507620941020544
6743914	C4	1121	0.7428760768721008
6743914	C5	6	0.003976143141153081
6743914	C6	2	0.0013253810470510272
6743915	C4	2	1
6743916	C1	25	0.0066050198150594455
6743916	C2	61	0.016116248348745046
6743916	C3	1963	0.5186261558784676
6743916	C4	1108	0.2927344782034346
6743916	C5	626	0.1653896961690885
6743916	C6	2	5.284015852047556e-4
6743918	C1	7	0.4117647058823529
6743918	C3	5	0.29411764705882354
6743918	C5	5	0.29411764705882354
6743921	C2	11	0.7333333333333333
6743921	C3	2	0.13333333333333333
6743921	C4	2	0.13333333333333333
6743923	C1	2	0.16666666666666666
6743923	C3	7	0.5833333333333334
6743923	C4	3	0.25
6743926	C3	6	0.42857142857142855
6743926	C4	5	0.35714285714285715
6743926	C6	3	0.21428571428571427
6743928	C1	3	0.0234375
6743928	C2	14	0.109375
6743928	C4	111	0.8671875
6743932	C2	2	0.5
6743932	C4	2	0.5
6743934	C1	1324	0.46603308694121787
6743934	C2	6	0.0021119324181626186
6743934	C4	436	0.1534670890531503
6743934	C5	1075	0.3783878915874692
6743935	C1	34	0.08717948717948718
6743935	C2	19	0.04871794871794872
6743935	C4	247	0.6333333333333333
6743935	C5	90	0.23076923076923078
6743939	C1	8	0.6153846153846154
6743939	C4	5	0.38461538461538464
6743940	C1	25	0.6944444444444444
6743940	C3	9	0.25
6743940	C5	2	0.05555555555555555
6743942	C4	6	1
6743944	C1	21	0.018551236749116608
6743944	C2	11	0.009717314487632508
6743944	C3	813	0.7181978798586572
6743944	C4	15	0.013250883392226149
6743944	C5	272	0.24028268551236748
6743947	C2	3	0.057692307692307696
6743947	C4	49	0.9423076923076923
6743951	C3	4	1
6743952	C2	2	0.0425531914893617
6743952	C3	13	0.2765957446808511
6743952	C5	32	0.6808510638297872
6743953	C1	2	0.14285714285714285
6743953	C3	5	0.35714285714285715
6743953	C4	3	0.21428571428571427
6743953	C5	4	0.2857142857142857
6743954	C1	10	0.002277904328018223
6743954	C2	24	0.005466970387243736
6743954	C3	3352	0.7635535307517084
6743954	C4	230	0.05239179954441914
6743954	C5	178	0.04054669703872437
6743954	C6	596	0.1357630979498861
6743955	C1	4	1
6743956	C5	4	1
6743958	C1	3	0.08108108108108109
6743958	C3	21	0.5675675675675675
6743958	C4	11	0.2972972972972973
6743958	C5	2	0.05405405405405406
6743962	C1	33	0.029490616621983913
6743962	C2	257	0.22966934763181412
6743962	C3	3	0.002680965147453083
6743962	C4	826	0.7381590705987489
6743963	C1	4	0.07407407407407407
6743963	C2	11	0.2037037037037037
6743963	C3	4	0.07407407407407407
6743963	C4	35	0.6481481481481481
6743964	C1	11	0.009009009009009009
6743964	C2	16	0.013104013104013105
6743964	C3	995	0.8149058149058149
6743964	C4	13	0.010647010647010647
6743964	C5	55	0.04504504504504504
6743964	C6	131	0.10728910728910729
6743969	C2	2	0.022222222222222223
6743969	C4	88	0.9777777777777777
6743970	C2	11	0.22
6743970	C3	12	0.24
6743970	C4	27	0.54
6743972	C1	77	0.13701067615658363
6743972	C3	473	0.8416370106761566
6743972	C4	7	0.012455516014234875
6743972	C6	5	0.008896797153024912
6743973	C1	4	0.125
6743973	C2	3	0.09375
6743973	C3	7	0.21875
6743973	C4	18	0.5625
6743976	C1	6	0.047619047619047616
6743976	C3	116	0.9206349206349206
6743976	C4	4	0.031746031746031744
6743980	C1	35	0.0109204368174727
6743980	C2	85	0.026521060842433698
6743980	C3	3020	0.9422776911076443
6743980	C4	17	0.005304212168486739
6743980	C5	48	0.01497659906396256
6743982	C1	1024	0.09488510007412898
6743982	C2	52	0.004818383988139363
6743982	C3	94	0.008710155670867309
6743982	C4	9250	0.8571163825055597
6743982	C5	372	0.03446997776130467
6743988	C1	9	0.24324324324324326
6743988	C3	9	0.24324324324324326
6743988	C4	10	0.2702702702702703
6743988	C5	9	0.24324324324324326
6743989	C4	111	1
6743991	C2	3	0.2
6743991	C3	4	0.26666666666666666
6743991	C4	6	0.4
6743991	C5	2	0.13333333333333333
6743997	C1	7	0.25
6743997	C3	14	0.5
6743997	C4	7	0.25
6743999	C3	17	0.85
6743999	C5	3	0.15
6744000	C1	142	0.0878169449598021
6744000	C2	48	0.029684601113172542
6744000	C3	159	0.09833024118738404
6744000	C4	1057	0.6536796536796536
6744000	C5	168	0.1038961038961039
6744000	C6	43	0.026592455163883734
