SampleID	Clade	n	propClade
6743909	C1	25	0.024177949709864602
6743909	C2	4	0.0038684719535783366
6743909	C3	748	0.723404255319149
6743909	C4	253	0.24468085106382978
6743909	C5	4	0.0038684719535783366
6743910	C1	2	0.00980392156862745
6743910	C2	5	0.024509803921568627
6743910	C4	188	0.9215686274509803
6743910	C5	9	0.04411764705882353
6743911	C4	9	1
6743912	C1	963	0.43437077131258456
6743912	C2	251	0.11321605773567885
6743912	C3	2	9.021199819576004e-4
6743912	C4	914	0.41226883175462337
6743912	C5	87	0.03924221921515562
6743913	C4	21	1
6743914	C1	508	0.2476840565577767
6743914	C2	19	0.009263773768893223
6743914	C3	7	0.0034129692832764505
6743914	C4	1508	0.735251097025841
6743914	C5	7	0.0034129692832764505
6743914	C6	2	9.751340809361287e-4
6743915	C4	8	1
6743916	C1	30	0.007306380905991232
6743916	C2	65	0.015830491962981003
6743916	C3	2171	0.5287384315635655
6743916	C4	1168	0.28446176327325867
6743916	C5	670	0.1631758402338042
6743916	C6	2	4.870920603994155e-4
6743917	C4	2	1
6743918	C1	9	0.24324324324324326
6743918	C3	8	0.21621621621621623
6743918	C5	20	0.5405405405405406
6743921	C2	16	0.7272727272727273
6743921	C3	2	0.09090909090909091
6743921	C4	4	0.18181818181818182
6743922	C3	2	0.3333333333333333
6743922	C5	4	0.6666666666666666
6743923	C1	2	0.14285714285714285
6743923	C3	8	0.5714285714285714
6743923	C4	4	0.2857142857142857
6743926	C1	2	0.1111111111111111
6743926	C3	7	0.3888888888888889
6743926	C4	6	0.3333333333333333
6743926	C6	3	0.16666666666666666
6743928	C1	3	0.018867924528301886
6743928	C2	19	0.11949685534591195
6743928	C4	137	0.8616352201257862
6743931	C3	8	0.8
6743931	C4	2	0.2
6743932	C2	2	0.07407407407407407
6743932	C4	21	0.7777777777777778
6743932	C5	4	0.14814814814814814
6743934	C1	1775	0.4703232644409115
6743934	C2	14	0.0037095919448860626
6743934	C3	3	7.94912559618442e-4
6743934	C4	602	0.1595124536301007
6743934	C5	1380	0.3656597774244833
6743935	C1	35	0.08974358974358974
6743935	C2	19	0.04871794871794872
6743935	C4	236	0.6051282051282051
6743935	C5	100	0.2564102564102564
6743937	C3	2	0.2857142857142857
6743937	C4	5	0.7142857142857143
6743939	C1	10	0.5555555555555556
6743939	C4	8	0.4444444444444444
6743940	C1	26	0.6842105263157895
6743940	C3	10	0.2631578947368421
6743940	C5	2	0.05263157894736842
6743942	C3	3	0.2727272727272727
6743942	C4	8	0.7272727272727273
6743944	C1	29	0.019528619528619527
6743944	C2	14	0.009427609427609427
6743944	C3	1075	0.7239057239057239
6743944	C4	22	0.014814814814814815
6743944	C5	345	0.23232323232323232
6743947	C2	3	0.04918032786885246
6743947	C3	2	0.03278688524590164
6743947	C4	56	0.9180327868852459
6743951	C3	7	0.7777777777777778
6743951	C5	2	0.2222222222222222
6743952	C2	2	0.03076923076923077
6743952	C3	19	0.2923076923076923
6743952	C5	44	0.676923076923077
6743953	C1	3	0.11538461538461539
6743953	C3	6	0.23076923076923078
6743953	C4	3	0.11538461538461539
6743953	C5	14	0.5384615384615384
6743954	C1	11	0.002248109544246883
6743954	C2	22	0.004496219088493766
