SampleID	Genomospecies	n	propGenomospecies
6743909	GS14	2	0.007633587786259542
6743909	GS2	5	0.019083969465648856
6743909	GS5	76	0.2900763358778626
6743909	GS7	172	0.6564885496183206
6743909	GS8	3	0.011450381679389313
6743909	GS9	4	0.015267175572519083
6743910	GS1	2	0.045454545454545456
6743910	GS12	2	0.045454545454545456
6743910	GS3	3	0.06818181818181818
6743910	GS5	2	0.045454545454545456
6743910	GS6	35	0.7954545454545454
6743911	GS6	3	1
6743912	GS1	308	0.39086294416243655
6743912	GS12	33	0.04187817258883249
6743912	GS2	16	0.02030456852791878
6743912	GS3	78	0.09898477157360407
6743912	GS4	12	0.015228426395939087
6743912	GS5	19	0.024111675126903553
6743912	GS6	322	0.4086294416243655
6743913	GS6	7	1
6743914	GS1	127	0.1906906906906907
6743914	GS12	3	0.0045045045045045045
6743914	GS13	2	0.003003003003003003
6743914	GS2	15	0.02252252252252252
6743914	GS3	2	0.003003003003003003
6743914	GS5	7	0.010510510510510511
6743914	GS6	508	0.7627627627627628
6743914	GS7	2	0.003003003003003003
6743916	GS1	4	0.0026827632461435278
6743916	GS11	25	0.01676727028839705
6743916	GS12	230	0.15425888665325285
6743916	GS14	698	0.4681421864520456
6743916	GS2	6	0.004024144869215292
6743916	GS3	2	0.0013413816230717639
6743916	GS4	2	0.0013413816230717639
6743916	GS5	502	0.33668678739101277
6743916	GS8	16	0.010731052984574111
6743916	GS9	6	0.004024144869215292
6743918	GS1	4	1
6743923	GS8	2	0.5
6743923	GS9	2	0.5
6743928	GS1	2	0.03389830508474576
6743928	GS3	5	0.0847457627118644
6743928	GS5	43	0.7288135593220338
6743928	GS6	9	0.15254237288135594
6743932	GS6	2	1
6743934	GS1	569	0.4330289193302892
6743934	GS12	492	0.3744292237442922
6743934	GS2	27	0.02054794520547945
6743934	GS5	226	0.1719939117199391
6743935	GS1	2	0.0125
6743935	GS12	27	0.16875
6743935	GS2	13	0.08125
6743935	GS4	4	0.025
6743935	GS5	112	0.7
6743935	GS6	2	0.0125
6743939	GS1	3	0.6
6743939	GS6	2	0.4
6743940	GS1	7	1
6743942	GS6	2	1
6743944	GS1	2	0.004081632653061225
6743944	GS10	8	0.0163265306122449
6743944	GS12	132	0.2693877551020408
6743944	GS14	6	0.012244897959183673
6743944	GS2	9	0.018367346938775512
6743944	GS3	4	0.00816326530612245
6743944	GS4	2	0.004081632653061225
6743944	GS5	8	0.0163265306122449
6743944	GS7	242	0.49387755102040815
6743944	GS8	52	0.10612244897959183
6743944	GS9	25	0.05102040816326531
6743947	GS4	2	0.07142857142857142
6743947	GS5	16	0.5714285714285714
6743947	GS6	10	0.35714285714285715
6743952	GS12	12	0.631578947368421
6743952	GS7	7	0.3684210526315789
6743953	GS7	2	1
6743954	GS1	3	0.0018951358180669614
6743954	GS12	69	0.043588123815540114
6743954	GS13	211	0.13329121920404297
6743954	GS14	385	0.24320909665192672
6743954	GS2	3	0.0018951358180669614
6743954	GS3	5	0.0031585596967782692
6743954	GS4	7	0.004421983575489577
6743954	GS5	102	0.06443461781427669
6743954	GS7	783	0.49463044851547694
6743954	GS8	4	0.002526847757422615
6743954	GS9	11	0.006948831332912192
6743958	GS1	2	0.18181818181818182
6743958	GS5	2	0.18181818181818182
6743958	GS6	5	0.45454545454545453
6743958	GS7	2	0.18181818181818182
6743962	GS1	10	0.0228310502283105
6743962	GS2	2	0.0045662100456621
6743962	GS3	82	0.1872146118721461
6743962	GS4	25	0.05707762557077625
6743962	GS5	319	0.728310502283105
6743963	GS1	4	0.17391304347826086
6743963	GS3	4	0.17391304347826086
6743963	GS6	15	0.6521739130434783
6743964	GS1	3	0.006224066390041493
6743964	GS10	2	0.004149377593360996
6743964	GS12	24	0.04979253112033195
6743964	GS13	45	0.09336099585062241
6743964	GS14	52	0.1078838174273859
6743964	GS2	2	0.004149377593360996
6743964	GS3	3	0.006224066390041493
6743964	GS6	3	0.006224066390041493
6743964	GS7	339	0.7033195020746889
6743964	GS8	4	0.008298755186721992
6743964	GS9	5	0.01037344398340249
6743969	GS5	3	0.061224489795918366
6743969	GS6	46	0.9387755102040817
6743970	GS14	3	0.125
6743970	GS3	7	0.2916666666666667
