SampleID	Genomospecies	n	propGenomospecies
6743909	GS1	3	0.009174311926605505
6743909	GS12	3	0.009174311926605505
6743909	GS14	3	0.009174311926605505
6743909	GS2	5	0.01529051987767584
6743909	GS5	90	0.27522935779816515
6743909	GS7	215	0.6574923547400612
6743909	GS8	4	0.012232415902140673
6743909	GS9	4	0.012232415902140673
6743910	GS1	2	0.03571428571428571
6743910	GS12	3	0.05357142857142857
6743910	GS3	3	0.05357142857142857
6743910	GS5	2	0.03571428571428571
6743910	GS6	46	0.8214285714285714
6743911	GS6	3	1
6743912	GS1	315	0.38985148514851486
6743912	GS12	37	0.04579207920792079
6743912	GS2	16	0.019801980198019802
6743912	GS3	80	0.09900990099009901
6743912	GS4	11	0.013613861386138614
6743912	GS5	19	0.023514851485148515
6743912	GS6	330	0.4084158415841584
6743913	GS6	7	1
6743914	GS1	175	0.2
6743914	GS12	3	0.0034285714285714284
6743914	GS13	2	0.002285714285714286
6743914	GS2	28	0.032
6743914	GS3	4	0.004571428571428572
6743914	GS5	11	0.012571428571428572
6743914	GS6	647	0.7394285714285714
6743914	GS7	5	0.005714285714285714
6743915	GS5	2	0.5
6743915	GS6	2	0.5
6743916	GS1	4	0.0025823111684958036
6743916	GS11	26	0.016785022595222725
6743916	GS12	230	0.14848289218850871
6743916	GS14	745	0.48095545513234345
6743916	GS2	6	0.003873466752743706
6743916	GS3	2	0.0012911555842479018
6743916	GS4	2	0.0012911555842479018
6743916	GS5	512	0.33053582956746286
6743916	GS8	16	0.010329244673983214
6743916	GS9	6	0.003873466752743706
6743917	GS6	2	1
6743918	GS1	5	0.5
6743918	GS12	5	0.5
6743923	GS8	2	0.5
6743923	GS9	2	0.5
6743928	GS1	2	0.028985507246376812
6743928	GS3	5	0.07246376811594203
6743928	GS5	50	0.7246376811594203
6743928	GS6	12	0.17391304347826086
6743931	GS14	3	1
6743932	GS6	6	1
6743934	GS1	749	0.4359720605355064
6743934	GS11	2	0.0011641443538998836
6743934	GS12	620	0.3608847497089639
6743934	GS2	44	0.025611175785797437
6743934	GS3	3	0.0017462165308498253
6743934	GS5	298	0.17345750873108265
6743934	GS8	2	0.0011641443538998836
6743935	GS1	2	0.012578616352201259
6743935	GS12	28	0.1761006289308176
6743935	GS2	13	0.08176100628930817
6743935	GS4	4	0.025157232704402517
6743935	GS5	112	0.7044025157232704
6743939	GS1	5	0.5
6743939	GS6	5	0.5
6743940	GS1	8	1
6743942	GS6	2	1
6743944	GS1	2	0.00333889816360601
6743944	GS10	10	0.01669449081803005
6743944	GS12	155	0.2587646076794658
6743944	GS14	7	0.011686143572621035
6743944	GS2	10	0.01669449081803005
6743944	GS3	4	0.00667779632721202
6743944	GS4	2	0.00333889816360601
6743944	GS5	10	0.01669449081803005
6743944	GS7	300	0.5008347245409015
6743944	GS8	66	0.11018363939899833
6743944	GS9	33	0.05509181969949917
6743947	GS4	2	0.05714285714285714
6743947	GS5	20	0.5714285714285714
6743947	GS6	13	0.37142857142857144
6743952	GS12	18	0.6666666666666666
6743952	GS7	9	0.3333333333333333
6743953	GS12	3	0.42857142857142855
6743953	GS6	2	0.2857142857142857
6743953	GS7	2	0.2857142857142857
6743954	GS1	4	0.0024096385542168677
6743954	GS12	74	0.04457831325301205
6743954	GS13	220	0.13253012048192772
6743954	GS14	413	0.24879518072289156
6743954	GS2	3	0.0018072289156626507
6743954	GS3	5	0.0030120481927710845
6743954	GS4	7	0.004216867469879518
6743954	GS5	112	0.06746987951807229
6743954	GS7	806	0.4855421686746988
6743954	GS8	4	0.0024096385542168677
6743954	GS9	12	0.007228915662650603
6743958	GS1	2	0.14285714285714285
6743958	GS2	2	0.14285714285714285
6743958	GS5	2	0.14285714285714285
6743958	GS6	5	0.35714285714285715
6743958	GS7	3	0.21428571428571427
6743959	GS3	15	0.8333333333333334
6743959	GS4	3	0.16666666666666666
6743962	GS1	12	0.026607538802660754
6743962	GS3	84	0.18625277161862527
6743962	GS4	26	0.057649667405764965
6743962	GS5	329	0.729490022172949
6743963	GS1	5	0.1724137931034483
6743963	GS14	2	0.06896551724137931
6743963	GS3	4	0.13793103448275862
6743963	GS5	2	0.06896551724137931
6743963	GS6	16	0.5517241379310345
6743964	GS1	3	0.006224066390041493
6743964	GS10	2	0.004149377593360996
6743964	GS12	29	0.06016597510373444
6743964	GS13	43	0.08921161825726141
6743964	GS14	53	0.10995850622406639
6743964	GS2	2	0.004149377593360996
6743964	GS3	2	0.004149377593360996
6743964	GS6	2	0.004149377593360996
6743964	GS7	338	0.70124481327800825
6743964	GS8	4	0.008298755186721992
6743964	GS9	4	0.008298755186721992
6743969	GS5	3	0.05454545454545454
6743969	GS6	52	0.9454545454545454
6743970	GS14	4	0.15384615384615385
6743970	GS3	8	0.3076923076923077
6743970	GS4	2	0.07692307692307693
6743970	GS6	12	0.46153846153846156
6743972	GS1	33	0.16176470588235295
6743972	GS2	8	0.0392156862745098
6743972	GS7	163	0.7990196078431373
6743973	GS5	2	0.2857142857142857
6743973	GS6	5	0.7142857142857143
6743976	GS1	2	0.02564102564102564
6743976	GS10	16	0.20512820512820512
6743976	GS5	2	0.02564102564102564
6743976	GS8	4	0.05128205128205128
6743976	GS9	54	0.6923076923076923
6743980	GS1	3	0.0024410089503661514
6743980	GS12	26	0.02115541090317331
6743980	GS14	961	0.7819365337672904
6743980	GS2	12	0.009764035801464606
6743980	GS3	14	0.011391375101708706
6743980	GS4	35	0.028478437754271765
6743980	GS5	3	0.0024410089503661514
6743980	GS7	144	0.11716842961757526
6743980	GS8	26	0.02115541090317331
6743980	GS9	5	0.0040683482506102524
6743982	GS1	404	0.0910114890741158
6743982	GS12	132	0.029736427123225953
6743982	GS2	15	0.003379139445821131
6743982	GS5	133	0.029961703086280694
6743982	GS6	3755	0.8459112412705564
6743983	GS1	132	0.42996742671009774
6743983	GS13	3	0.009771986970684038
6743983	GS2	12	0.03908794788273615
6743983	GS5	142	0.46254071661237783
6743983	GS6	18	0.05863192182410423
6743988	GS1	4	0.23529411764705882
6743988	GS12	5	0.29411764705882354
6743988	GS14	4	0.23529411764705882
6743988	GS6	4	0.23529411764705882
6743989	GS5	6	0.1
6743989	GS6	54	0.9
6743991	GS5	2	1
6743997	GS1	4	0.4
6743997	GS7	6	0.6
6743999	GS14	7	0.7
6743999	GS7	3	0.3
6744000	GS1	29	0.0377113133940182
6744000	GS10	2	0.002600780234070221
6744000	GS11	18	0.02340702210663199
6744000	GS12	67	0.08712613784135241
6744000	GS13	23	0.02990897269180754
6744000	GS14	20	0.02600780234070221
6744000	GS2	50	0.06501950585175553
6744000	GS5	528	0.6866059817945384
6744000	GS6	4	0.005201560468140442
6744000	GS7	6	0.007802340702210663
6744000	GS8	9	0.011703511053315995
6744000	GS9	13	0.016905071521456438
6744001	GS1	18	0.6923076923076923
6744001	GS5	2	0.07692307692307693
6744001	GS6	2	0.07692307692307693
6744001	GS7	4	0.15384615384615385
6744002	GS1	101	0.061887254901960786
