SampleID,gardReads
SRR6743909,20576
SRR6743910,5920
SRR6743911,176
SRR6743912,60975
SRR6743913,554
SRR6743914,78095
SRR6743915,8
SRR6743916,104641
SRR6743917,129
SRR6743918,679
SRR6743919,91
SRR6743921,902
SRR6743922,158
SRR6743923,394
SRR6743926,675
SRR6743928,3908
SRR6743929,16
SRR6743931,105
SRR6743932,395
SRR6743934,105020
SRR6743935,9939
SRR6743937,285
SRR6743939,453
SRR6743940,1130
SRR6743942,423
SRR6743944,42953
SRR6743945,24
SRR6743947,1792
SRR6743948,33
SRR6743951,110
SRR6743952,919
SRR6743953,944
SRR6743954,101819
SRR6743955,218
SRR6743956,37
SRR6743957,109
SRR6743958,727
SRR6743961,33
SRR6743962,28074
SRR6743963,1634
SRR6743964,31099
SRR6743969,4432
SRR6743970,1484
SRR6743972,11082
SRR6743973,1060
SRR6743976,7879
SRR6743980,74960
SRR6743982,338232
SRR6743985,43
SRR6743986,55
SRR6743987,51
SRR6743988,1179
SRR6743989,6214
SRR6743991,359
SRR6743992,71
SRR6743994,16
SRR6743997,643
SRR6743998,11
SRR6743999,739
SRR6744000,63541
SRR6744001,1559
SRR6744002,110267
SRR6744003,8
SRR6744004,48
SRR6744005,23
SRR6744006,4365
SRR6744007,239
SRR6744009,17589
SRR6744010,254
SRR6744011,691
SRR6744012,1731
SRR6744014,435
SRR6744015,1612
SRR6744016,137
SRR6744017,302
SRR6744020,228435
SRR6744022,43029
SRR6744023,244540
SRR6744027,44
SRR6744028,5233
SRR6744031,12914
SRR6744033,86
SRR6744034,72
SRR6744036,47684
SRR6744037,3245
SRR6744039,138
SRR6744040,77
SRR6744041,43909
SRR6744042,453
SRR6744043,91727
SRR6744044,371
SRR6744045,56
SRR6744046,170089
SRR6744049,250
SRR6744050,8267
SRR6744051,14688
SRR6744052,35765
SRR6744053,1060
SRR6744054,178
SRR6744061,80
SRR6744062,3293
SRR6744063,252906
SRR6744064,246822
SRR6744065,2840
SRR6744066,31369
SRR6744067,115984
SRR6744068,110686
SRR6744069,284
