#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	1000801248_metaphlan_bugs_list	1000801318_metaphlan_bugs_list	1000801368_metaphlan_bugs_list	1001301158_metaphlan_bugs_list	1001301248_metaphlan_bugs_list	1001301318_metaphlan_bugs_list	1001801138_metaphlan_bugs_list	1001801248_metaphlan_bugs_list	1001801318_metaphlan_bugs_list	1002701138_metaphlan_bugs_list	1002701158_metaphlan_bugs_list	1002701278_metaphlan_bugs_list	1003101118_metaphlan_bugs_list	1003101188_metaphlan_bugs_list	1003101278_metaphlan_bugs_list	1004001168_metaphlan_bugs_list	1004001278_metaphlan_bugs_list	1004001348_metaphlan_bugs_list	1005601098_metaphlan_bugs_list	1005601168_metaphlan_bugs_list	1005601348_metaphlan_bugs_list	1050801308_metaphlan_bugs_list	1050801318_metaphlan_bugs_list	1050835178_metaphlan_bugs_list	1050835218_metaphlan_bugs_list	1060435158_metaphlan_bugs_list	1060435318_metaphlan_bugs_list	1060435348_metaphlan_bugs_list	1060801198_metaphlan_bugs_list	1060801338_metaphlan_bugs_list	1060835148_metaphlan_bugs_list	1061235118_metaphlan_bugs_list	1061235188_metaphlan_bugs_list	1061235278_metaphlan_bugs_list	1061635088_metaphlan_bugs_list	1061635208_metaphlan_bugs_list	1061635368_metaphlan_bugs_list	1062101108_metaphlan_bugs_list	1062101238_metaphlan_bugs_list	1062101338_metaphlan_bugs_list	1062301128_metaphlan_bugs_list	1062301198_metaphlan_bugs_list	1062335178_metaphlan_bugs_list	1062601228_metaphlan_bugs_list	1062601258_metaphlan_bugs_list	1062601368_metaphlan_bugs_list	1062701128_metaphlan_bugs_list	1062701298_metaphlan_bugs_list	1062735148_metaphlan_bugs_list	1062735198_metaphlan_bugs_list	1062901138_metaphlan_bugs_list	1062901218_metaphlan_bugs_list	1062901318_metaphlan_bugs_list	1900401198_metaphlan_bugs_list	1900401288_metaphlan_bugs_list	1900401398_metaphlan_bugs_list	1902401118_metaphlan_bugs_list	1902401208_metaphlan_bugs_list	1902401308_metaphlan_bugs_list	2050501168_metaphlan_bugs_list	2050501298_metaphlan_bugs_list	2050501348_metaphlan_bugs_list	4002101198_metaphlan_bugs_list	4002101298_metaphlan_bugs_list	4002135018_metaphlan_bugs_list	4003235018_metaphlan_bugs_list	4003235288_metaphlan_bugs_list	4003235368_metaphlan_bugs_list	4004235208_metaphlan_bugs_list	4004235248_metaphlan_bugs_list	4004235268_metaphlan_bugs_list	4004735328_metaphlan_bugs_list	4004735368_metaphlan_bugs_list	4004935158_metaphlan_bugs_list	4004935268_metaphlan_bugs_list	4004935338_metaphlan_bugs_list	4005935278_metaphlan_bugs_list	4005935328_metaphlan_bugs_list	4005935358_metaphlan_bugs_list	4006635198_metaphlan_bugs_list	4006635258_metaphlan_bugs_list	4006635278_metaphlan_bugs_list	4006635338_metaphlan_bugs_list	4006935208_metaphlan_bugs_list	4006935248_metaphlan_bugs_list	4006935358_metaphlan_bugs_list	4007135108_metaphlan_bugs_list	4007135118_metaphlan_bugs_list	4007135148_metaphlan_bugs_list	4007135288_metaphlan_bugs_list	4007235168_metaphlan_bugs_list	4007235278_metaphlan_bugs_list	4007435168_metaphlan_bugs_list	4007435248_metaphlan_bugs_list	4007435258_metaphlan_bugs_list	4007535198_metaphlan_bugs_list	4007535238_metaphlan_bugs_list	4007535358_metaphlan_bugs_list	4008435158_metaphlan_bugs_list	4008435348_metaphlan_bugs_list	4008435358_metaphlan_bugs_list	4009035168_metaphlan_bugs_list	4009035268_metaphlan_bugs_list	4009035368_metaphlan_bugs_list	4009835178_metaphlan_bugs_list	4009835228_metaphlan_bugs_list	4009835268_metaphlan_bugs_list
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.98672	99.9961	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.8175	100.0	100.0	100.0	100.0	99.98291	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	97.63208	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99757	100.0	99.93094
k__Bacteria|p__Actinobacteria	50.88316	33.42827	46.10783	69.19607	64.04677	73.54377	32.50299	54.66983	63.73009	94.34975	98.69122	31.96617	94.35727	97.45154	97.3163	71.2335	38.1453	34.60264	52.28945	81.53007	20.5843	0.45092	0.0	0.81178	0.0	0.67097	0.13448	1.41187	0.15056	0.0	0.0	2.01043	21.23121	0.91961	83.31568	85.79038	73.90681	98.20305	95.31586	98.45149	0.0	5.24283	1.67152	23.01697	7.09891	2.80149	64.46931	46.75461	60.34911	65.20245	70.96729	76.43656	57.63802	26.54992	50.47933	36.69155	68.53334	82.65045	84.18651	19.48347	27.18786	18.41152	73.43771	62.37168	81.01695	65.29502	86.9525	74.40753	56.27144	73.60322	75.63213	57.7526	65.32524	58.94156	63.91516	62.45714	74.76332	31.16226	0.27797	87.98085	79.16034	84.21886	45.11145	69.40217	94.00083	77.53673	77.0041	80.69783	62.70509	47.30695	96.4904	99.25196	76.5343	92.65471	65.2984	52.88698	0.0	84.0374	55.41212	31.30031	2.0053	86.43903	85.05289	79.58316	43.83673	50.48095	56.5477
k__Bacteria|p__Firmicutes	49.11684	66.57173	53.89217	17.79437	26.68986	17.99256	31.68087	26.04298	26.0257	3.12703	0.93505	65.62114	1.27037	0.0	0.0	28.7665	61.8547	65.39736	44.31468	18.17261	54.53297	99.04409	100.0	72.52282	100.0	99.31919	99.86552	98.50016	94.34603	100.0	98.8424	97.38571	76.10097	98.66852	11.74879	9.20919	13.70741	0.68886	0.0	0.0	47.55259	67.58077	90.18647	76.98303	92.90109	97.19851	24.05719	48.60799	35.61995	32.29136	27.82926	22.95821	38.67148	60.25977	43.96566	61.07008	22.64885	12.69385	13.36783	59.2154	64.99197	71.49762	24.39029	19.98818	17.09129	0.07737	13.0475	23.9852	23.08438	20.7123	20.71781	39.94582	30.89241	24.38547	24.54007	17.81789	23.49556	60.49115	99.6262	10.26485	19.43074	12.10995	5.70818	16.96813	5.32463	11.70998	18.62207	14.55715	35.50665	50.33984	0.0	0.08949	23.19746	6.33831	34.7016	44.72481	100.0	15.09787	42.13832	67.88507	59.87484	8.43625	10.968	14.94134	31.1631	39.12699	29.94119
k__Bacteria|p__Actinobacteria|c__Actinomycetia	50.88316	33.42827	46.10783	67.3416	62.01977	73.54377	32.31216	54.63033	63.69505	93.22159	98.29397	31.9317	94.35727	97.45154	97.3163	71.2335	38.1453	34.60264	51.92638	81.53007	20.5784	0.45092	0.0	0.81178	0.0	0.67097	0.13448	1.41187	0.15056	0.0	0.0	2.01043	21.23121	0.91961	79.32825	81.92464	71.7414	98.20305	95.29776	98.45149	0.0	5.17115	1.67152	23.01697	7.09891	2.80149	55.52427	46.71699	52.93482	57.35391	70.87712	70.19455	57.08619	24.24961	48.76438	36.00625	60.95861	82.56449	84.18651	19.48347	27.11159	18.41152	71.30133	60.80823	79.32762	65.29502	86.9525	74.28876	53.19961	68.90102	71.70449	57.44824	65.04953	54.17491	60.15261	56.74568	72.80501	30.73132	0.27797	86.70991	77.94873	78.91478	45.11145	64.86539	93.86233	77.24557	76.66807	80.34818	61.5582	46.85643	96.4904	99.25196	76.20096	91.46058	65.2984	52.88698	0.0	84.0374	54.89358	31.30031	2.0053	84.52723	83.08902	78.53345	42.10843	49.63468	55.43083
k__Bacteria|p__Firmicutes|c__Bacilli	49.11684	66.57173	53.89217	3.02176	4.76931	16.17813	8.54128	10.44119	16.79802	0.42322	0.55342	63.10354	0.35073	0.0	0.0	28.7665	61.8547	65.39736	18.18221	11.70436	6.14945	98.99531	100.0	72.52282	100.0	99.25738	99.86552	98.23966	92.35889	99.90894	98.8424	96.49841	74.62445	98.66852	0.31218	0.24037	0.28918	0.68886	0.0	0.0	47.55259	55.22843	90.18647	76.98303	92.90109	96.47994	5.42121	41.51339	7.63333	10.52923	9.3742	19.67069	10.18852	51.85462	27.53741	40.982	2.88817	4.94779	10.51687	56.67127	58.39981	71.49762	12.16543	15.34152	11.79977	0.05612	11.34569	18.42964	16.13319	13.62594	17.49678	31.26645	22.45959	5.00296	3.83147	2.94108	16.67407	48.24624	99.6262	3.99111	13.86928	2.75657	0.0	5.12103	5.15977	2.25151	12.07129	10.25908	33.37405	46.33942	0.0	0.08949	20.88906	4.15359	21.36566	44.72481	100.0	13.41634	26.95778	62.00744	32.98004	1.73892	1.41155	5.86152	4.32529	9.37116	13.03029
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	50.88316	33.42827	46.10783	52.97729	54.52431	71.89185	13.3716	47.08918	49.99126	87.32413	94.49872	31.9317	83.78844	97.45154	94.03492	71.2335	38.1453	34.60264	30.94263	61.82779	8.73099	0.39144	0.0	0.81178	0.0	0.0	0.13448	0.03299	0.0	0.0	0.0	0.07826	18.77357	0.90993	65.85917	72.79572	60.96668	97.91351	54.3178	67.87925	0.0	1.06451	0.0	23.01697	7.09891	2.80149	35.19263	38.77844	26.49252	36.48579	68.29769	67.33642	55.71373	16.55785	40.44944	27.7825	54.583	78.5134	82.02491	17.01576	17.05982	17.73063	70.46387	40.11843	74.89316	64.29497	85.85169	72.59247	41.06877	46.45542	43.36415	37.02604	60.69186	29.93389	49.9035	49.61394	70.71446	30.04161	0.21998	83.95059	74.44876	70.09601	45.11145	60.67358	89.78572	67.88072	72.99674	75.1905	58.24893	43.81722	43.81042	68.2632	72.69383	88.61749	65.2984	52.88698	0.0	67.20344	47.43805	31.09433	0.0	73.69574	79.06778	67.28726	18.1433	33.88644	19.42419
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	49.11684	66.57173	53.89217	3.00551	4.70482	16.17813	8.4473	10.40423	16.53682	0.40378	0.53133	63.10354	0.33079	0.0	0.0	28.7665	61.8547	65.39736	13.36901	9.19162	6.14881	98.95096	100.0	72.52282	100.0	99.25738	99.86552	98.23966	92.35889	99.90894	98.8424	96.49841	74.62445	98.66852	0.18393	0.15806	0.09299	0.65546	0.0	0.0	47.55259	55.22843	90.18647	76.98303	92.90109	96.47994	5.21652	41.02222	7.47167	10.2742	9.3742	19.67069	10.18852	51.71059	27.44095	40.982	2.88817	4.93869	10.51357	56.18443	57.79825	71.49762	12.16366	15.33555	10.87365	0.00689	11.34569	18.42597	15.98185	13.13363	17.33757	31.25926	22.45959	3.73877	2.86638	1.91049	16.49179	48.17475	99.53193	3.83238	13.35219	2.3891	0.0	5.12103	5.13338	2.17322	11.89668	10.25476	33.37405	46.33212	0.0	0.08949	20.87779	4.15359	21.36566	44.72481	100.0	13.41634	26.62528	61.92789	32.98004	1.65256	1.33345	5.86152	4.12947	9.07949	12.59495
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	50.88316	33.42827	46.10783	52.97729	54.52431	71.89185	13.3716	47.08918	49.99126	87.32413	94.49872	31.9317	83.78844	97.45154	94.03492	71.2335	38.1453	34.60264	30.94263	61.82779	8.73099	0.39144	0.0	0.81178	0.0	0.0	0.13448	0.03299	0.0	0.0	0.0	0.07826	18.77357	0.90993	65.85917	72.79572	60.96668	97.91351	54.3178	67.87925	0.0	1.06451	0.0	23.01697	7.09891	2.80149	35.19263	38.77844	26.49252	36.48579	68.29769	67.33642	55.71373	16.55785	40.44944	27.7825	54.583	78.5134	82.02491	17.01576	17.05982	17.73063	70.46387	40.11843	74.89316	64.29497	85.85169	72.59247	41.06877	46.45542	43.36415	37.02604	60.69186	29.93389	49.9035	49.61394	70.71446	30.04161	0.21998	83.95059	74.44876	70.09601	45.11145	60.67358	89.78572	67.88072	72.99674	75.1905	58.24893	43.81722	43.81042	68.2632	72.69383	88.61749	65.2984	52.88698	0.0	67.20344	47.43805	31.09433	0.0	73.69574	79.06778	67.28726	18.1433	33.88644	19.42419
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	49.11684	66.57173	53.89217	2.92634	4.463	14.77486	5.24267	6.75328	7.97165	0.0	0.0	59.9729	0.0	0.0	0.0	28.7665	61.8547	65.39736	5.3633	7.57884	4.33729	98.89073	99.98206	72.52282	100.0	99.25738	99.86552	98.22038	92.35889	99.90894	98.8424	96.49841	74.62445	98.66852	0.0	0.0	0.0	0.0	0.0	0.0	47.55259	51.92166	90.18647	76.98303	92.90109	96.47994	4.40449	36.9508	7.03682	9.65076	8.55476	18.72539	9.55647	50.9767	27.26114	40.90213	0.0	0.11473	8.33854	55.73774	54.07589	70.32832	11.49108	15.2885	6.50109	0.0	11.32584	17.79558	15.7756	12.67752	16.19679	29.6331	22.0958	0.90709	2.52951	1.68337	13.52898	47.46008	99.53193	2.94732	12.9306	2.14898	0.0	4.85245	3.33291	1.92282	11.50751	9.67285	32.86288	46.05689	0.0	0.08949	19.75721	3.46704	21.36566	44.52986	100.0	12.62029	25.36082	61.36226	28.38165	1.40372	1.23516	5.71126	0.88731	5.9482	8.88493
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	50.88316	33.42827	46.10783	52.97729	54.52431	71.89185	13.3716	47.08918	49.99126	87.32413	94.49872	31.9317	83.60836	97.45154	93.75295	71.2335	38.1453	34.60264	29.71196	61.71035	8.47256	0.39144	0.0	0.66802	0.0	0.0	0.13448	0.03299	0.0	0.0	0.0	0.07826	18.74353	0.90993	65.85917	72.79572	60.96668	97.91351	54.3178	67.87925	0.0	0.0	0.0	23.01697	7.09891	2.80149	35.19263	37.1972	26.49252	36.48579	68.29769	67.33642	55.71373	16.55785	40.44944	27.7825	54.583	78.5134	82.02491	15.51298	16.57115	17.73063	70.36773	39.94124	74.89316	64.29497	85.85169	72.59247	41.06714	46.41166	43.31433	37.02604	60.69186	29.78021	49.89854	49.4245	70.71446	30.04161	0.21998	71.7847	74.12822	68.78301	45.11145	25.63507	88.74882	67.55244	72.99674	75.1905	58.24893	43.81722	43.81042	68.2632	72.69383	88.61749	65.2984	52.88698	0.0	62.01421	47.43805	31.09433	0.0	73.69574	79.06778	67.28726	18.11547	33.83916	19.29238
