SampleID	Clade	n	propClade
1000801248	C1	1	0.004032258064516129
1000801248	C2	4	0.016129032258064516
1000801248	C3	2	0.008064516129032258
1000801248	C4	241	0.9717741935483871
1000801318	C4	129	1
1000801368	C1	1	0.005494505494505495
1000801368	C2	1	0.005494505494505495
1000801368	C3	3	0.016483516483516484
1000801368	C4	177	0.9725274725274725
1001301158	C1	94	0.1346704871060172
1001301158	C2	12	0.017191977077363897
1001301158	C3	1	0.0014326647564469914
1001301158	C4	77	0.11031518624641834
1001301158	C5	514	0.7363896848137536
1001301248	C1	88	0.15198618307426598
1001301248	C2	34	0.05872193436960276
1001301248	C4	384	0.6632124352331606
1001301248	C5	73	0.12607944732297063
1001301318	C1	12	0.025974025974025976
1001301318	C2	136	0.2943722943722944
1001301318	C4	224	0.48484848484848486
1001301318	C5	90	0.19480519480519481
1001801138	C1	2	0.03225806451612903
1001801138	C4	60	0.967741935483871
1001801248	C1	1	0.003215434083601286
1001801248	C2	1	0.003215434083601286
1001801248	C3	6	0.01929260450160772
1001801248	C4	303	0.9742765273311897
1001801318	C1	2	0.007017543859649123
1001801318	C2	1	0.0035087719298245615
1001801318	C3	8	0.028070175438596492
1001801318	C4	274	0.9614035087719298
1002701138	C1	181	0.260806916426513
1002701138	C2	19	0.027377521613832854
1002701138	C4	491	0.707492795389049
1002701138	C5	1	0.001440922190201729
1002701138	C6	2	0.002881844380403458
1002701158	C1	226	0.3398496240601504
1002701158	C2	26	0.039097744360902256
1002701158	C4	409	0.6150375939849624
1002701158	C5	3	0.004511278195488722
1002701158	C6	1	0.0015037593984962407
1002701278	C1	125	0.9328358208955224
1002701278	C2	9	0.06716417910447761
1003101118	C1	460	0.7516339869281046
1003101118	C2	152	0.24836601307189543
1003101188	C1	777	0.925
1003101188	C2	63	0.075
1003101278	C1	653	0.9328571428571428
1003101278	C2	47	0.06714285714285714
1004001168	C3	1	0.0017482517482517483
1004001168	C4	564	0.986013986013986
1004001168	C6	7	0.012237762237762238
1004001278	C3	2	0.008064516129032258
1004001278	C4	246	0.9919354838709677
1004001348	C3	2	0.007575757575757576
1004001348	C4	261	0.9886363636363636
1004001348	C6	1	0.003787878787878788
1005601098	C1	141	0.9724137931034482
1005601098	C2	4	0.027586206896551724
1005601168	C1	438	0.9842696629213483
1005601168	C2	6	0.01348314606741573
1005601168	C3	1	0.0022471910112359553
1005601348	C1	43	0.9555555555555556
1005601348	C2	2	0.044444444444444446
1050835178	C2	3	0.6
1050835178	C3	2	0.4
1060435318	C1	3	0.375
1060435318	C4	5	0.625
1060435348	C4	2	1
1061235188	C1	88	0.8979591836734694
1061235188	C2	1	0.01020408163265306
1061235188	C3	1	0.01020408163265306
1061235188	C4	7	0.07142857142857142
1061235188	C6	1	0.01020408163265306
1061235278	C1	3	0.3
1061235278	C3	2	0.2
1061235278	C4	3	0.3
