SampleID	Genomospecies	n	propGenomospecies
1000801248	GS1	1	0.006134969325153374
1000801248	GS10	1	0.006134969325153374
1000801248	GS5	5	0.03067484662576687
1000801248	GS6	155	0.950920245398773
1000801248	GS9	1	0.006134969325153374
1000801318	GS5	7	0.07608695652173914
1000801318	GS6	85	0.9239130434782609
1000801368	GS1	1	0.007462686567164179
1000801368	GS10	1	0.007462686567164179
1000801368	GS5	4	0.029850746268656716
1000801368	GS6	126	0.9402985074626866
1000801368	GS8	1	0.007462686567164179
1000801368	GS9	1	0.007462686567164179
1001301158	GS1	69	0.13320463320463322
1001301158	GS12	376	0.7258687258687259
1001301158	GS14	1	0.0019305019305019305
1001301158	GS2	3	0.005791505791505791
1001301158	GS3	6	0.011583011583011582
1001301158	GS4	3	0.005791505791505791
1001301158	GS6	60	0.11583011583011583
1001301248	GS1	66	0.15529411764705883
1001301248	GS12	50	0.11764705882352941
1001301248	GS2	5	0.011764705882352941
1001301248	GS3	16	0.03764705882352941
1001301248	GS4	8	0.018823529411764704
1001301248	GS5	4	0.009411764705882352
1001301248	GS6	276	0.6494117647058824
1001301318	GS1	8	0.023121387283236993
1001301318	GS11	1	0.002890173410404624
1001301318	GS12	66	0.1907514450867052
1001301318	GS3	82	0.23699421965317918
1001301318	GS4	25	0.07225433526011561
1001301318	GS6	164	0.47398843930635837
1001801138	GS1	2	0.045454545454545456
1001801138	GS5	3	0.06818181818181818
1001801138	GS6	39	0.8863636363636364
1001801248	GS1	1	0.0045662100456621
1001801248	GS5	29	0.1324200913242009
1001801248	GS6	188	0.8584474885844748
1001801248	GS8	1	0.0045662100456621
1001801318	GS1	1	0.004761904761904762
1001801318	GS10	1	0.004761904761904762
1001801318	GS5	44	0.20952380952380953
1001801318	GS6	163	0.7761904761904762
1001801318	GS8	1	0.004761904761904762
1002701138	GS1	118	0.22519083969465647
1002701138	GS12	1	0.0019083969465648854
1002701138	GS13	2	0.003816793893129771
1002701138	GS2	10	0.019083969465648856
1002701138	GS3	6	0.011450381679389313
1002701138	GS4	2	0.003816793893129771
1002701138	GS5	14	0.026717557251908396
1002701138	GS6	371	0.7080152671755725
1002701158	GS1	149	0.3016194331983806
1002701158	GS12	2	0.004048582995951417
1002701158	GS13	1	0.0020242914979757085
1002701158	GS2	15	0.030364372469635626
1002701158	GS3	5	0.010121457489878543
1002701158	GS4	7	0.01417004048582996
1002701158	GS5	12	0.024291497975708502
1002701158	GS6	303	0.6133603238866396
1002701278	GS1	85	0.9139784946236559
1002701278	GS2	5	0.053763440860215055
1002701278	GS3	1	0.010752688172043012
1002701278	GS4	2	0.021505376344086023
1003101118	GS1	312	0.6964285714285714
1003101118	GS11	2	0.004464285714285714
1003101118	GS2	30	0.06696428571428571
1003101118	GS3	33	0.07366071428571429
1003101118	GS4	71	0.15848214285714285
1003101188	GS1	549	0.8591549295774648
1003101188	GS11	3	0.004694835680751174
1003101188	GS2	59	0.09233176838810642
1003101188	GS3	26	0.0406885758998435
1003101188	GS4	2	0.003129890453834116
1003101278	GS1	470	0.8752327746741154
1003101278	GS2	48	0.0893854748603352
1003101278	GS3	19	0.035381750465549346
1004001168	GS13	7	0.017543859649122806
1004001168	GS5	390	0.9774436090225563
1004001168	GS6	1	0.002506265664160401
1004001168	GS9	1	0.002506265664160401
1004001278	GS5	179	0.988950276243094
1004001278	GS8	1	0.0055248618784530384
1004001278	GS9	1	0.0055248618784530384
1004001348	GS13	1	0.0055248618784530384
1004001348	GS5	177	0.9779005524861878
1004001348	GS6	1	0.0055248618784530384
1004001348	GS9	2	0.011049723756906077
1005601098	GS1	102	0.918918918918919
1005601098	GS2	5	0.04504504504504504
1005601098	GS3	4	0.036036036036036036
1005601168	GS1	308	0.924924924924925
1005601168	GS14	1	0.003003003003003003
1005601168	GS2	18	0.05405405405405406
1005601168	GS3	6	0.018018018018018018
1005601348	GS1	34	0.8717948717948718
1005601348	GS2	3	0.07692307692307693
1005601348	GS3	1	0.02564102564102564
1005601348	GS4	1	0.02564102564102564
1050835178	GS3	3	0.75
1050835178	GS7	1	0.25
1060435318	GS1	3	0.375
1060435318	GS6	5	0.625
1060435348	GS6	2	1
1061235188	GS1	61	0.8356164383561644
1061235188	GS13	1	0.0136986301369863
1061235188	GS2	3	0.0410958904109589
1061235188	GS6	7	0.0958904109589041
1061235188	GS7	1	0.0136986301369863
1061235278	GS1	1	0.3333333333333333
1061235278	GS6	2	0.6666666666666666
1061635088	GS1	14	0.025547445255474453
1061635088	GS10	4	0.0072992700729927005
1061635088	GS2	1	0.0018248175182481751
1061635088	GS5	72	0.13138686131386862
1061635088	GS6	446	0.8138686131386861
1061635088	GS8	2	0.0036496350364963502
1061635088	GS9	9	0.016423357664233577
1061635208	GS1	100	0.18115942028985507
1061635208	GS10	4	0.007246376811594203
1061635208	GS2	10	0.018115942028985508
1061635208	GS4	4	0.007246376811594203
1061635208	GS5	59	0.1068840579710145
1061635208	GS6	371	0.6721014492753623
1061635208	GS8	2	0.0036231884057971015
1061635208	GS9	2	0.0036231884057971015
1061635368	GS1	97	0.2371638141809291
1061635368	GS10	1	0.0024449877750611247
1061635368	GS13	1	0.0024449877750611247
1061635368	GS2	8	0.019559902200488997
1061635368	GS5	51	0.12469437652811736
1061635368	GS6	243	0.5941320293398533
1061635368	GS8	4	0.009779951100244499
1061635368	GS9	4	0.009779951100244499
1062101108	GS1	451	0.9514767932489452
1062101108	GS2	23	0.04852320675105485
1062101238	GS1	205	0.9490740740740741
1062101238	GS2	11	0.05092592592592592
1062101338	GS1	232	0.9586776859504132
1062101338	GS2	9	0.0371900826446281
1062101338	GS4	1	0.004132231404958678
1062601228	GS1	77	1
1062601258	GS1	9	0.9
1062601258	GS2	1	0.1
1062601368	GS1	9	1
1062701128	GS1	1	0.013513513513513514
1062701128	GS10	1	0.013513513513513514
1062701128	GS12	14	0.1891891891891892
1062701128	GS13	1	0.013513513513513514
1062701128	GS14	9	0.12162162162162163
1062701128	GS2	2	0.02702702702702703
1062701128	GS4	2	0.02702702702702703
1062701128	GS5	3	0.04054054054054054
1062701128	GS6	1	0.013513513513513514
1062701128	GS7	36	0.4864864864864865
1062701128	GS8	4	0.05405405405405406
1062701298	GS1	1	0.00558659217877095
1062701298	GS13	1	0.00558659217877095
1062701298	GS4	2	0.0111731843575419
1062701298	GS5	175	0.9776536312849162
1062735148	GS1	2	0.022222222222222223
1062735148	GS10	3	0.03333333333333333
1062735148	GS12	8	0.08888888888888889
1062735148	GS13	1	0.011111111111111112
1062735148	GS14	4	0.044444444444444446
1062735148	GS2	2	0.022222222222222223
1062735148	GS4	1	0.011111111111111112
1062735148	GS5	4	0.044444444444444446
1062735148	GS6	2	0.022222222222222223
1062735148	GS7	55	0.6111111111111112
1062735148	GS8	2	0.022222222222222223
1062735148	GS9	6	0.06666666666666667
1062735198	GS1	4	0.041237113402061855
1062735198	GS10	7	0.07216494845360824
1062735198	GS12	18	0.18556701030927836
1062735198	GS13	6	0.061855670103092786
1062735198	GS14	7	0.07216494845360824
1062735198	GS2	1	0.010309278350515464
1062735198	GS3	2	0.020618556701030927
1062735198	GS4	3	0.030927835051546393
1062735198	GS5	8	0.08247422680412371
1062735198	GS6	2	0.020618556701030927
1062735198	GS7	21	0.21649484536082475
1062735198	GS8	12	0.12371134020618557
1062735198	GS9	6	0.061855670103092786
1062901138	GS1	93	0.2743362831858407
1062901138	GS12	2	0.0058997050147492625
1062901138	GS2	3	0.008849557522123894
1062901138	GS3	1	0.0029498525073746312
1062901138	GS5	20	0.058997050147492625
1062901138	GS6	219	0.6460176991150443
1062901138	GS9	1	0.0029498525073746312
