SampleID	Gardnerella_vaginalis
6743909	39.38426
6743911	0
6743916	39.63376
6743917	0
6743918	9.37322
6743919	2.61085
6743922	0.22098
6743923	0.49856
6743926	1.08456
6743928	19.21253
6743939	0.38883
6743940	9.16887
6743945	0
6743947	0.44763
6743952	1.4819
6743954	62.42427
6743955	0.03675
6743958	0.43677
6743961	0
6743962	55.18301
6743963	4.12314
6743964	94.17049
6743970	2.32474
6743972	40.22343
6743980	47.71132
6743982	71.92729
6743986	0
6743988	1.38802
6743992	0
6744001	3.28153
6744002	85.81567
6744004	0
6744006	23.35302
6744009	4.89701
6744011	8.32734
6744012	1.90955
6744015	9.34602
6744016	0
6744017	12.12875
6744023	86.15132
6744027	0
6744031	44.21057
6744033	0
6744034	0
6744037	46.50082
6744042	0.76413
6744044	1.62203
6744046	86.86012
6744049	0
6744050	26.05215
6744051	9.50005
6744052	76.02475
6744053	5.29284
6744062	20.49404
6744063	64.68681
6744064	89.34176
6744065	8.96243
6744066	54.31184
6744068	62.98435
6744072	78.73276
6744073	2.08971
6744076	82.16686
6744080	0
6744081	2.14797
6744082	0
6744083	33.27197
6744085	28.5431
6744089	2.11753
6744090	10.33894
6744093	18.01078
6744096	0.8181
6744100	35.72477
6744103	80.26092
6744104	0.74012
6744106	98.68079
6744110	2.104
6744112	1.4293
6744113	46.9632
6744115	19.90963
6744118	30.49021
6744119	98.86544
6744120	2.9559
6744124	23.85173
6744128	0
6744129	0
6744135	10.45094
6744136	53.05959
6744137	1.77127
6744138	44.97505
6744143	0
6744145	0
6744147	60.12283
6744149	0.75092
6744150	3.78188
6744155	22.67318
6744159	4.28898
6744160	88.68343
6744161	63.03554
6744162	67.99979
6744163	1.88218
6744165	3.57965
6744168	10.11554
6744171	68.69983
6744175	0.12276
6744177	0.22302
6744178	24.48126
6744180	1.51247
6744187	0
6744189	3.56668
6744190	20.65758
6744191	80.93014
6744193	1.83421
6744194	7.76331
6744195	64.3927
6744198	85.46354
6744199	16.54163
6744203	1.59215
6744204	0
6744205	33.26
6744210	42.65897
6744211	43.85017
6744213	0.6897
6744216	0
6744217	0
6744220	5.08378
6744222	0.03479
6744224	45.41341
6744227	1.02438
6744228	73.54694
6744230	2.45353
6744233	2.60069
6744236	0
6744237	76.58742
6744245	0
6744247	3.27712
6744249	80.80464
6744251	1.16941
6744252	83.53088
6744255	0
6744259	4.36698
6744263	3.84654
6744266	77.46518
6744271	0.57257
6744272	82.55925
6744273	1.62584
6744275	15.09251
6744281	0.20866
6744284	0.69494
6744286	76.02143
6744287	0
6744289	0
6744292	0.05941
6744293	0.5564
6744294	79.95979
6744296	0
6744299	2.46132
6744302	3.13171
6744306	4.40849
6744307	75.3784
6744310	41.89862
6744311	85.24892
6744312	0
6744316	80.78041
6744317	22.39141
6744318	41.7688
6744320	85.44585
6744321	19.58906
6744324	17.63745
6744325	51.33502
6744327	48.9741
6744328	14.99942
6744330	30.99733
6744337	73.27153
6744341	11.2645
6744344	0.99817
6744345	0.50815
6744347	92.36519
6744348	41.63606
6744350	1.35381
6744351	81.33414
6744357	82.33723
6744358	4.79936
6744359	1.68632
6744368	31.92928
6744372	1.63642
6744374	4.58187
6744377	76.06652
6744382	0
6744383	2.22436
6744384	0
6744386	0.0233
6744389	44.94144
6744394	0
6744395	0
6744396	21.4993
6744397	86.75563
6744398	49.35156
6744399	0
6744400	81.37498
6744402	62.39421
6744404	0.05646
6744407	91.73425
6744409	68.36156
6744410	57.11122
6744413	60.25846
6744416	0
6744419	79.88224
6744424	2.88358
6744425	0.85266
6744426	41.86939
6744427	2.12928
6744433	46.23845
6744437	0.95128
6744438	0
6744440	12.16718
6744449	0
6744452	8.93711
6744453	0
6744457	0
6744459	7.17921
6744463	16.29781
6744466	0
6744467	0
6744469	16.873169999999998
6744472	0
6744473	12.10296
6744475	1.65748
6744478	0
6744479	2.50787
6744483	0.1969
6744491	6.7241
6744493	56.98002
6744494	2.94123
6744495	0
6744500	87.25631
6744502	3.69889
6744503	37.24453
6744504	24.75432
6744505	0.54544
6744506	1.00522
6744508	15.15193
6744509	5.64619
6744511	48.96597
6744512	37.77396
