SampleID,rarefiedReads
1000801248,100000
1000801318,100000
1000801368,100000
1001301158,100000
1001301248,100000
1001301318,100000
1001801138,100000
1001801248,100000
1001801318,100000
1002701138,100000
1002701158,100000
1002701278,100000
1003101118,100000
1003101188,100000
1003101278,100000
1004001168,100000
1004001278,100000
1004001348,100000
1005601098,100000
1005601168,100000
1005601348,100000
1050801308,100000
1050801318,100000
1050835178,100000
1050835218,100000
1060435158,100000
1060435318,100000
1060435348,100000
1060801198,100000
1060801338,100000
1060835148,100000
1061235118,100000
1061235188,100000
1061235278,100000
1061635088,100000
1061635208,100000
1061635368,100000
1062101108,100000
1062101238,100000
1062101338,100000
1062301128,100000
1062301198,100000
1062335178,100000
1062601228,100000
1062601258,45287
1062601368,100000
1062701128,100000
1062701298,100000
1062735148,100000
1062735198,100000
1062901138,100000
1062901218,100000
1062901318,100000
1900401198,100000
1900401288,100000
1900401398,100000
1902401118,100000
1902401208,100000
1902401308,100000
2050501168,100000
2050501298,100000
2050501348,100000
4002101198,100000
4002101298,100000
4002135018,100000
4003235018,100000
4003235288,100000
4003235368,100000
4004235208,100000
4004235248,100000
4004235268,100000
4004735328,100000
4004735368,100000
4004935158,100000
4004935268,100000
4004935338,100000
4005935278,100000
4005935328,100000
4005935358,100000
4006635198,100000
4006635258,100000
4006635278,100000
4006635338,81037
4006935208,100000
4006935248,100000
4006935358,100000
4007135108,100000
4007135118,100000
4007135148,100000
4007135288,100000
4007235168,100000
4007235278,100000
4007435168,100000
4007435248,100000
4007435258,100000
4007535198,100000
4007535238,100000
4007535358,100000
4008435158,100000
4008435348,100000
4008435358,100000
4009035168,100000
4009035268,100000
4009035368,100000
4009835178,100000
4009835228,100000
4009835268,100000
6743909,100000
6743910,100000
6743911,100000
6743912,100000
6743913,70133
6743914,100000
6743915,94103
6743916,100000
6743917,100000
6743918,100000
6743919,76516
6743921,87388
6743922,57912
6743923,100000
6743926,100000
6743928,100000
6743929,83870
6743931,100000
6743932,34679
6743934,100000
6743935,100000
6743937,2619
6743939,100000
6743940,100000
6743941,0
6743942,100000
6743944,100000
6743945,100000
6743947,100000
6743948,100000
6743951,90865
6743952,100000
6743953,100000
6743954,100000
6743955,100000
6743956,100000
6743957,12106
6743958,100000
6743959,0
6743961,100000
6743962,100000
6743963,100000
6743964,100000
6743969,100000
6743970,100000
6743972,100000
6743973,100000
6743976,60305
6743980,100000
6743982,100000
6743983,0
6743985,100000
6743986,100000
6743987,100000
6743988,100000
6743989,70209
6743991,100000
6743992,100000
6743994,100000
6743997,100000
6743998,51155
6743999,100000
6744000,100000
6744001,100000
6744002,100000
6744003,17909
6744004,100000
6744005,22578
6744006,100000
6744007,2852
6744008,202
6744009,100000
6744010,100000
6744011,100000
6744012,100000
6744014,53167
6744015,100000
6744016,100000
6744017,100000
6744019,0
6744020,100000
6744022,100000
6744023,100000
6744025,50856
6744027,100000
6744028,73477
6744031,100000
6744033,100000
6744034,100000
6744036,100000
6744037,100000
6744039,100000
6744040,100000
6744041,100000
6744042,100000
6744043,100000
6744044,100000
6744045,831
6744046,100000
6744048,0
6744049,100000
6744050,100000
6744051,100000
6744052,100000
6744053,100000
6744054,86879
6744061,76786
6744062,100000
6744063,100000
6744064,100000
6744065,100000
6744066,100000
6744067,100000
6744068,100000
6744069,55754
6744070,0
6744071,100000
6744072,100000
6744073,100000
6744076,100000
6744077,45933
6744078,100000
6744079,100000
6744080,100000
6744081,87982
6744082,100000
6744083,100000
6744084,39893
6744085,100000
6744088,0
6744089,100000
6744090,100000
6744091,91924
6744093,100000
6744096,100000
6744100,100000
6744102,0
6744103,100000
6744104,100000
6744106,100000
6744110,100000
6744111,1250
6744112,100000
6744113,100000
6744115,100000
6744117,100000
6744118,100000
6744119,56864
6744120,100000
6744123,100000
6744124,51146
