"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","00703Bmash","00703C2mash","00703Dmash","0288E","101","1400E","1500E","284V","315-A","3549624","409-05","41V","5-1","55152","6119V5","6420B","75712","AMD","ATCC_14019","CMW7778B","DNF01149","DNF01162","FDAARGOS_568","GED7275B","GED7760B","GH015","GS_10234","GS_9838-1","GV37","HMP9231","JCP7275","JCP7276","JCP7659","JCP7672","JCP7719","JCP8017A","JCP8066","JCP8070","JCP8108","JCP8151A","JCP8151B","JCP8481A","JCP8522","KA00225","KA00735","N101","N144","N160","N165","N72","N95","NR010","NR038","NR039","PSS_7772B","UGent_06.41","UGent_09.07","UGent_09.48","UGent_18.01","UGent_21.28","UGent_25.49","UMB0032B","UMB0061","UMB0143","UMB0202","UMB0233","UMB0264","UMB0386","UMB0558","UMB0662","UMB0682","UMB0736","UMB0742","UMB0768","UMB0769","UMB0770","UMB0775","UMB0830","UMB0833","UMB0913","UMB1489","UMB1642","UMB1686","UMB1698","W11"
"group_1008","","hypothetical protein","85","85","1","1","803","","","","374","830","736","00703Bmash_00997","00703C2mash_01052","00703Dmash_01146","0288E_00360","101_01183","1400E_00354","1500E_00413","284V_01267","315-A_00154","3549624_00834","409-05_00346","41V_00112","5-1_00671","55152_00989","6119V5_00784","6420B_00333","75712_00431","AMD_00896","ATCC_14019_01188","CMW7778B_00692","DNF01149_01085","DNF01162_00813","FDAARGOS_568_00005","GED7275B_00904","GED7760B_00912","GH015_00626","GS_10234_00821","GS_9838-1_00382","GV37_00375","HMP9231_00315","JCP7275_01103","JCP7276_00727","JCP7659_00239","JCP7672_00793","JCP7719_00958","JCP8017A_01317","JCP8066_00641","JCP8070_00347","JCP8108_01124","JCP8151A_01068","JCP8151B_00710","JCP8481A_01039","JCP8522_00448","KA00225_00703","KA00735_01175","N101_00341","N144_00220","N160_00552","N165_00753","N72_01058","N95_01213","NR010_01058","NR038_00448","NR039_00540","PSS_7772B_00021","UGent_06.41_00122","UGent_09.07_00090","UGent_09.48_00356","UGent_18.01_00340","UGent_21.28_00338","UGent_25.49_00343","UMB0032B_00958","UMB0061_00602","UMB0143_01154","UMB0202_00135","UMB0233_00149","UMB0264_00362","UMB0386_00876","UMB0558_00349","UMB0662_00637","UMB0682_01026","UMB0736_00932","UMB0742_00806","UMB0768_00822","UMB0769_00367","UMB0770_00339","UMB0775_00345","UMB0830_00352","UMB0833_00796","UMB0913_00352","UMB1489_00355","UMB1642_01085","UMB1686_00167","UMB1698_00642","W11_00128"
"mltG","","Endolytic murein transglycosylase","85","85","1","1","2486","","","","1157","1424","1175","00703Bmash_01089","00703C2mash_00331","00703Dmash_00530","0288E_00771","101_00260","1400E_00324","1500E_00892","284V_00776","315-A_01060","3549624_00345","409-05_00366","41V_01031","5-1_00691","55152_00429","6119V5_00833","6420B_00309","75712_00546","AMD_00876","ATCC_14019_01075","CMW7778B_01206","DNF01149_01284","DNF01162_00833","FDAARGOS_568_01268","GED7275B_00061","GED7760B_00887","GH015_00011","GS_10234_00801","GS_9838-1_00402","GV37_00395","HMP9231_00430","JCP7275_00620","JCP7276_00249","JCP7659_00520","JCP7672_00956","JCP7719_00485","JCP8017A_00295","JCP8066_01124","JCP8070_00301","JCP8108_01066","JCP8151A_00556","JCP8151B_01181","JCP8481A_00533","JCP8522_00078","KA00225_00731","KA00735_00149","N101_00426","N144_00332","N160_00683","N165_01356","N72_01038","N95_00948","NR010_01078","NR038_00949","NR039_00882","PSS_7772B_01228","UGent_06.41_00142","UGent_09.07_00199","UGent_09.48_00376","UGent_18.01_00443","UGent_21.28_00437","UGent_25.49_00454","UMB0032B_00844","UMB0061_00490","UMB0143_00739","UMB0202_00022","UMB0233_00041","UMB0264_00382","UMB0386_00760","UMB0558_00459","UMB0662_00617","UMB0682_01046","UMB0736_00817","UMB0742_00786","UMB0768_00712","UMB0769_00387","UMB0770_00454","UMB0775_01208","UMB0830_00462","UMB0833_00430","UMB0913_00372","UMB1489_00375","UMB1642_01105","UMB1686_00734","UMB1698_00622","W11_00037"
"czcD","","Metal cation efflux system protein CzcD","85","85","1","1","3857","","","","959","1148","1009","00703Bmash_01114","00703C2mash_00306","00703Dmash_00788","0288E_01288","101_00566","1400E_00887","1500E_00625","284V_00438","315-A_00705","3549624_00601","409-05_00641","41V_00039","5-1_00074","55152_00727","6119V5_00305","6420B_00648","75712_01050","AMD_00208","ATCC_14019_00576","CMW7778B_00493","DNF01149_00231","DNF01162_01104","FDAARGOS_568_00763","GED7275B_00392","GED7760B_00113","GH015_00468","GS_10234_00501","GS_9838-1_01015","GV37_00739","HMP9231_00944","JCP7275_00998","JCP7276_01099","JCP7659_00711","JCP7672_01151","JCP7719_01156","JCP8017A_00321","JCP8066_00792","JCP8070_00567","JCP8108_00479","JCP8151A_00059","JCP8151B_01016","JCP8481A_00475","JCP8522_00362","KA00225_00100","KA00735_00606","N101_00451","N144_00359","N160_00238","N165_00574","N72_00744","N95_00973","NR010_00136","NR038_00261","NR039_00920","PSS_7772B_01040","UGent_06.41_00466","UGent_09.07_00916","UGent_09.48_00621","UGent_18.01_00468","UGent_21.28_00462","UGent_25.49_00945","UMB0032B_00276","UMB0061_00276","UMB0143_00279","UMB0202_00741","UMB0233_00766","UMB0264_00637","UMB0386_00277","UMB0558_00484","UMB0662_00143","UMB0682_00505","UMB0736_00279","UMB0742_00532","UMB0768_00215","UMB0769_00661","UMB0770_00706","UMB0775_00665","UMB0830_00487","UMB0833_00405","UMB0913_00637","UMB1489_00628","UMB1642_00158","UMB1686_00485","UMB1698_01129","W11_00012"
"malQ_2","","4-alpha-glucanotransferase","85","85","1","1","4625","","","","809","2270","2174","00703Bmash_00747","00703C2mash_01016","00703Dmash_00451","0288E_01202","101_01055","1400E_00504","1500E_01090","284V_00586","315-A_00269","3549624_01310","409-05_01267","41V_01299","5-1_01323","55152_01226","6119V5_00893","6420B_00021","75712_00032","AMD_01235","ATCC_14019_00239","CMW7778B_00811","DNF01149_01196","DNF01162_01221","FDAARGOS_568_00381","GED7275B_00532","GED7760B_00071","GH015_01037","GS_10234_01218","GS_9838-1_01207","GV37_01408","HMP9231_00112","JCP7275_00770","JCP7276_00948","JCP7659_00565","JCP7672_00653","JCP7719_01125","JCP8017A_00543","JCP8066_00006","JCP8070_00801","JCP8108_00864","JCP8151A_00773","JCP8151B_01049","JCP8481A_00260","JCP8522_00420","KA00225_01216","KA00735_00016","N101_01193","N144_01133","N160_00983","N165_01094","N72_00117","N95_01151","NR010_01228","NR038_01107","NR039_00317","PSS_7772B_00601","UGent_06.41_00983","UGent_09.07_01174","UGent_09.48_01105","UGent_18.01_01158","UGent_21.28_01222","UGent_25.49_01249","UMB0032B_01352","UMB0061_01240","UMB0143_01221","UMB0202_01227","UMB0233_01265","UMB0264_01171","UMB0386_01289","UMB0558_01216","UMB0662_01121","UMB0682_01172","UMB0736_01343","UMB0742_00020","UMB0768_01287","UMB0769_01194","UMB0770_01244","UMB0775_01338","UMB0830_01225","UMB0833_01264","UMB0913_01157","UMB1489_01140","UMB1642_01288","UMB1686_01123","UMB1698_01230","W11_01190"
"yciV","","5'-3' exoribonuclease","85","85","1","1","574","","","","887","1016","917","00703Bmash_00246","00703C2mash_00516","00703Dmash_00583","0288E_00464","101_00314","1400E_00788","1500E_00833","284V_00348","315-A_00849","3549624_00693","409-05_00423","41V_00968","5-1_00747","55152_00838","6119V5_00398","6420B_00198","75712_01141","AMD_00818","ATCC_14019_00483","CMW7778B_00569","DNF01149_00140","DNF01162_00890","FDAARGOS_568_00619","GED7275B_00259","GED7760B_01087","GH015_00562","GS_10234_00741","GS_9838-1_00806","GV37_00454","HMP9231_01035","JCP7275_00302","JCP7276_00634","JCP7659_00105","JCP7672_00729","JCP7719_00561","JCP8017A_00035","JCP8066_00711","JCP8070_01015","JCP8108_01271","JCP8151A_01111","JCP8151B_00361","JCP8481A_00569","JCP8522_00560","KA00225_00863","KA00735_00678","N101_00763","N144_00933","N160_00043","N165_00673","N72_00980","N95_00151","NR010_00880","NR038_00369","NR039_01020","PSS_7772B_00655","UGent_06.41_00196","UGent_09.07_00825","UGent_09.48_00429","UGent_18.01_00995","UGent_21.28_01028","UGent_25.49_01036","UMB0032B_00185","UMB0061_00185","UMB0143_00187","UMB0202_00650","UMB0233_00675","UMB0264_00439","UMB0386_00186","UMB0558_01018","UMB0662_01015","UMB0682_01102","UMB0736_00186","UMB0742_00733","UMB0768_00124","UMB0769_00446","UMB0770_00615","UMB0775_00574","UMB0830_01024","UMB0833_00992","UMB0913_00436","UMB1489_00432","UMB1642_01162","UMB1686_00674","UMB1698_00563","W11_00644"
"group_1058","","hypothetical protein","85","85","1","1","1640","","","","704","713","707","00703Bmash_00096","00703C2mash_00568","00703Dmash_01083","0288E_00533","101_01118","1400E_01084","1500E_00476","284V_00278","315-A_00919","3549624_01390","409-05_01099","41V_01137","5-1_01162","55152_01311","6119V5_00720","6420B_00971","75712_01209","AMD_00078","ATCC_14019_00414","CMW7778B_00121","DNF01149_00072","DNF01162_00392","FDAARGOS_568_00551","GED7275B_00307","GED7760B_01036","GH015_01160","GS_10234_00114","GS_9838-1_00762","GV37_01242","HMP9231_01103","JCP7275_01194","JCP7276_00881","JCP7659_00454","JCP7672_00865","JCP7719_01222","JCP8017A_00840","JCP8066_00259","JCP8070_01120","JCP8108_01229","JCP8151A_00387","JCP8151B_00438","JCP8481A_00279","JCP8522_00402","KA00225_00875","KA00735_00247","N101_00713","N144_00981","N160_00615","N165_01258","N72_00280","N95_00102","NR010_00490","NR038_00588","NR039_01102","PSS_7772B_00936","UGent_06.41_00823","UGent_09.07_00757","UGent_09.48_00973","UGent_18.01_01041","UGent_21.28_01075","UGent_25.49_01104","UMB0032B_00117","UMB0061_00117","UMB0143_00119","UMB0202_00582","UMB0233_00607","UMB0264_01031","UMB0386_00118","UMB0558_01068","UMB0662_00509","UMB0682_00105","UMB0736_00118","UMB0742_00177","UMB0768_00056","UMB0769_01047","UMB0770_00547","UMB0775_00505","UMB0830_01074","UMB0833_01042","UMB0913_01002","UMB1489_00986","UMB1642_00587","UMB1686_00090","UMB1698_00116","W11_00694"
"rsmH","","Ribosomal RNA small subunit methyltransferase H","85","85","1","1","496","","","","1025","1088","1059","00703Bmash_00115","00703C2mash_00548","00703Dmash_01096","0288E_00491","101_01132","1400E_00758","1500E_00463","284V_00319","315-A_00877","3549624_00777","409-05_01084","41V_00996","5-1_01147","55152_00868","6119V5_00733","6420B_00957","75712_01168","AMD_00063","ATCC_14019_00454","CMW7778B_00097","DNF01149_00113","DNF01162_00408","FDAARGOS_568_00592","GED7275B_00288","GED7760B_01059","GH015_00583","GS_10234_00129","GS_9838-1_00747","GV37_01227","HMP9231_01062","JCP7275_00843","JCP7276_01181","JCP7659_00260","JCP7672_01052","JCP7719_00845","JCP8017A_00904","JCP8066_00281","JCP8070_00317","JCP8108_00799","JCP8151A_00422","JCP8151B_00028","JCP8481A_01121","JCP8522_00654","KA00225_00995","KA00735_00223","N101_00732","N144_00962","N160_00602","N165_00703","N72_00296","N95_00121","NR010_00476","NR038_00406","NR039_01056","PSS_7772B_00554","UGent_06.41_00809","UGent_09.07_00798","UGent_09.48_00958","UGent_18.01_01022","UGent_21.28_01056","UGent_25.49_01063","UMB0032B_00158","UMB0061_00158","UMB0143_00160","UMB0202_00623","UMB0233_00648","UMB0264_01016","UMB0386_00159","UMB0558_01049","UMB0662_00494","UMB0682_00120","UMB0736_00159","UMB0742_00191","UMB0768_00097","UMB0769_01032","UMB0770_00588","UMB0775_00546","UMB0830_01055","UMB0833_01023","UMB0913_00987","UMB1489_00971","UMB1642_00571","UMB1686_00103","UMB1698_00131","W11_00674"
"pbpB","","Penicillin-binding protein PbpB","85","85","1","1","491","","","","320","2093","1953","00703Bmash_00117","00703C2mash_00546","00703Dmash_01098","0288E_00489","101_01134","1400E_00760","1500E_00461","284V_00321","315-A_00875","3549624_00775","409-05_01082","41V_00994","5-1_01145","55152_00866","6119V5_00735","6420B_00955","75712_01166","AMD_00061","ATCC_14019_00457","CMW7778B_00099","DNF01149_00115","DNF01162_00410","FDAARGOS_568_00594","GED7275B_00286","GED7760B_01061","GH015_00581","GS_10234_00131","GS_9838-1_00745","GV37_01225","HMP9231_01060","JCP7275_00841","JCP7276_01179","JCP7659_00262","JCP7672_01050","JCP7719_00847","JCP8017A_00906","JCP8066_00279","JCP8070_00315","JCP8108_00801","JCP8151A_00420","JCP8151B_00030","JCP8481A_01119","JCP8522_00656","KA00225_00997","KA00735_00225","N101_00734","N144_00960","N160_00600","N165_00701","N72_00298","N95_00123","NR010_00474","NR038_00404","NR039_01052","PSS_7772B_00556","UGent_06.41_00807","UGent_09.07_00800","UGent_09.48_00956","UGent_18.01_01020","UGent_21.28_01054","UGent_25.49_01061","UMB0032B_00160","UMB0061_00160","UMB0143_00162","UMB0202_00625","UMB0233_00650","UMB0264_01014","UMB0386_00161","UMB0558_01047","UMB0662_00492","UMB0682_00122","UMB0736_00161","UMB0742_00193","UMB0768_00099","UMB0769_01030","UMB0770_00590","UMB0775_00548","UMB0830_01053","UMB0833_01021","UMB0913_00985","UMB1489_00969","UMB1642_00569","UMB1686_00105","UMB1698_00133","W11_00672"
"phoU1","","Phosphate-specific transport system accessory protein PhoU ","85","85","1","1","1719","","","","680","680","680","00703Bmash_00203","00703C2mash_00474","00703Dmash_00548","0288E_00419","101_00278","1400E_00840","1500E_00870","284V_00392","315-A_00805","3549624_00648","409-05_00384","41V_00090","5-1_00709","55152_00774","6119V5_00853","6420B_00291","75712_01097","AMD_00858","ATCC_14019_00529","CMW7778B_01158","DNF01149_00184","DNF01162_00851","FDAARGOS_568_00663","GED7275B_00216","GED7760B_01127","GH015_00515","GS_10234_00783","GS_9838-1_00421","GV37_00413","HMP9231_00991","JCP7275_00807","JCP7276_01033","JCP7659_00948","JCP7672_01197","JCP7719_00813","JCP8017A_01112","JCP8066_00752","JCP8070_01101","JCP8108_00575","JCP8151A_00630","JCP8151B_00402","JCP8481A_00608","JCP8522_00962","KA00225_01044","KA00735_01204","N101_00806","N144_00890","N160_00009","N165_00621","N72_01020","N95_00194","NR010_00574","NR038_00317","NR039_00972","PSS_7772B_00230","UGent_06.41_00160","UGent_09.07_00869","UGent_09.48_00394","UGent_18.01_00954","UGent_21.28_00987","UGent_25.49_00992","UMB0032B_00229","UMB0061_00229","UMB0143_00232","UMB0202_00694","UMB0233_00719","UMB0264_00401","UMB0386_00230","UMB0558_00975","UMB0662_00599","UMB0682_01064","UMB0736_00231","UMB0742_00768","UMB0768_00168","UMB0769_00405","UMB0770_00659","UMB0775_00618","UMB0830_00981","UMB0833_00949","UMB0913_00398","UMB1489_00393","UMB1642_01123","UMB1686_00710","UMB1698_00604","W11_00604"
"purM","","Phosphoribosylformylglycinamidine cyclo-ligase","85","85","1","1","3055","","","","1034","1034","1034","00703Bmash_00427","00703C2mash_00929","00703Dmash_01047","0288E_00957","101_00029","1400E_01315","1500E_00257","284V_00891","315-A_00466","3549624_00079","409-05_01008","41V_01199","5-1_01075","55152_00315","6119V5_01138","6420B_00887","75712_00754","AMD_00665","ATCC_14019_00871","CMW7778B_00333","DNF01149_00581","DNF01162_00487","FDAARGOS_568_01056","GED7275B_01142","GED7760B_00429","GH015_00187","GS_10234_00207","GS_9838-1_00674","GV37_01097","HMP9231_00673","JCP7275_00588","JCP7276_00308","JCP7659_00788","JCP7672_00554","JCP7719_00668","JCP8017A_00636","JCP8066_01067","JCP8070_00937","JCP8108_00434","JCP8151A_00194","JCP8151B_00577","JCP8481A_00118","JCP8522_00262","KA00225_00038","KA00735_00366","N101_00998","N144_00655","N160_00496","N165_00269","N72_00420","N95_00385","NR010_00404","NR038_00723","NR039_00766","PSS_7772B_01099","UGent_06.41_00738","UGent_09.07_00383","UGent_09.48_00888","UGent_18.01_00763","UGent_21.28_00754","UGent_25.49_00647","UMB0032B_00583","UMB0061_01038","UMB0143_00551","UMB0202_01039","UMB0233_01065","UMB0264_00946","UMB0386_00572","UMB0558_00777","UMB0662_00420","UMB0682_00235","UMB0736_00630","UMB0742_00261","UMB0768_00524","UMB0769_00955","UMB0770_01095","UMB0775_01036","UMB0830_00780","UMB0833_00057","UMB0913_00918","UMB1489_00901","UMB1642_00491","UMB1686_00227","UMB1698_00210","W11_00855"
