reference,gene,annotation,Strain,Genomospecies,Clade
1400E_00087,pyk,Pyruvate kinase,1400E,GS2,C1
1400E_00101,ppc,Phosphoenolpyruvate carboxylase,1400E,GS2,C1
1400E_00168,upp,Uracil phosphoribosyltransferase,1400E,GS2,C1
1400E_00187,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,1400E,GS2,C1
1400E_00188,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,1400E,GS2,C1
1400E_00189,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,1400E,GS2,C1
1400E_00227,atpA,ATP synthase subunit alpha,1400E,GS2,C1
1400E_00228,atpG,ATP synthase gamma chain,1400E,GS2,C1
1400E_00229,atpD_2,ATP synthase subunit beta,1400E,GS2,C1
1400E_00246,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,1400E,GS2,C1
1400E_00256,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",1400E,GS2,C1
1400E_00259,efp,Elongation factor P,1400E,GS2,C1
1400E_00271,pgk,Phosphoglycerate kinase,1400E,GS2,C1
1400E_00305,rpoB,DNA-directed RNA polymerase subunit beta,1400E,GS2,C1
1400E_00319,pyrG,CTP synthase,1400E,GS2,C1
1400E_00342,thrS,Threonine--tRNA ligase,1400E,GS2,C1
1400E_00358,rplS,50S ribosomal protein L19,1400E,GS2,C1
1400E_00362,pgi,Glucose-6-phosphate isomerase,1400E,GS2,C1
1400E_00514,dapL,LL-diaminopimelate aminotransferase,1400E,GS2,C1
1400E_00538,rpsO,30S ribosomal protein S15,1400E,GS2,C1
1400E_00552,rplU,50S ribosomal protein L21,1400E,GS2,C1
1400E_00560,rpoA,DNA-directed RNA polymerase subunit alpha,1400E,GS2,C1
1400E_00562,rpsM,30S ribosomal protein S13,1400E,GS2,C1
1400E_00563,infA,Translation initiation factor IF-1,1400E,GS2,C1
1400E_00571,rpsH,30S ribosomal protein S8,1400E,GS2,C1
1400E_00577,rpmC,50S ribosomal protein L29,1400E,GS2,C1
1400E_00578,rplP,50S ribosomal protein L16,1400E,GS2,C1
1400E_00583,rplW,50S ribosomal protein L23,1400E,GS2,C1
1400E_00585,rplC,50S ribosomal protein L3,1400E,GS2,C1
1400E_00606,groS,10 kDa chaperonin,1400E,GS2,C1
1400E_00621,valS,Valine--tRNA ligase,1400E,GS2,C1
1400E_00626,ppa,Inorganic pyrophosphatase,1400E,GS2,C1
1400E_00631,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",1400E,GS2,C1
1400E_00635,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,1400E,GS2,C1
1400E_00666,eno,Enolase,1400E,GS2,C1
1400E_00679,ychF,Ribosome-binding ATPase YchF,1400E,GS2,C1
1400E_00770,rpsG,30S ribosomal protein S7,1400E,GS2,C1
1400E_00771,fusA,Elongation factor G,1400E,GS2,C1
1400E_00812,glyQS,Glycine--tRNA ligase,1400E,GS2,C1
1400E_00828,ldh2,L-lactate dehydrogenase 2,1400E,GS2,C1
1400E_00838,lysS1,Lysine--tRNA ligase 1,1400E,GS2,C1
1400E_00881,guaA,GMP synthase [glutamine-hydrolyzing],1400E,GS2,C1
1400E_00935,pflB,Formate acetyltransferase 1,1400E,GS2,C1
1400E_00944,hup,DNA-binding protein HB1,1400E,GS2,C1
1400E_00956,groL1,60 kDa chaperonin 1,1400E,GS2,C1
1400E_00995,gap,Glyceraldehyde-3-phosphate dehydrogenase,1400E,GS2,C1
1400E_00998,rpmI,50S ribosomal protein L35,1400E,GS2,C1
1400E_00999,rplT,50S ribosomal protein L20,1400E,GS2,C1
1400E_01085,nrdD,Anaerobic ribonucleoside-triphosphate reductase,1400E,GS2,C1
1400E_01093,serS,Serine--tRNA ligase,1400E,GS2,C1
1400E_01116,pgm,Phosphoglucomutase,1400E,GS2,C1
1400E_01118,rpiA,Ribose-5-phosphate isomerase A,1400E,GS2,C1
1400E_01143,rplA,50S ribosomal protein L1,1400E,GS2,C1
1400E_01144,rplK,50S ribosomal protein L11,1400E,GS2,C1
1400E_01146,rplJ,50S ribosomal protein L10,1400E,GS2,C1
1400E_01148,pstB1,Phosphate import ATP-binding protein PstB 1,1400E,GS2,C1
1400E_01226,tal,Transaldolase,1400E,GS2,C1
1400E_01227,tkt,Transketolase,1400E,GS2,C1
1400E_01233,ppgK,Polyphosphate glucokinase,1400E,GS2,C1
1400E_01243,rpsB,30S ribosomal protein S2,1400E,GS2,C1
1400E_01246,frr,Ribosome-recycling factor,1400E,GS2,C1
1400E_01285,der,GTPase Der,1400E,GS2,C1
1400E_01296,group_2483,putative transcriptional regulatory protein,1400E,GS2,C1
1400E_01328,lepA,Elongation factor 4,1400E,GS2,C1
1400E_01329,rpsT,30S ribosomal protein S20,1400E,GS2,C1
1400E_01354,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,1400E,GS2,C1
1400E_01367,prfB,Peptide chain release factor 2,1400E,GS2,C1
1400E_01368,map,Methionine aminopeptidase 1,1400E,GS2,C1
1400E_01376,guaB,Inosine-5'-monophosphate dehydrogenase,1400E,GS2,C1
1400E_01381,rpmE,50S ribosomal protein L31,1400E,GS2,C1
1500E_00003,atpD_2,ATP synthase subunit beta,1500E,GS10,C3
1500E_00004,atpG,ATP synthase gamma chain,1500E,GS10,C3
1500E_00005,atpA,ATP synthase subunit alpha,1500E,GS10,C3
1500E_00045,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,1500E,GS10,C3
1500E_00046,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,1500E,GS10,C3
1500E_00047,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,1500E,GS10,C3
1500E_00070,upp,Uracil phosphoribosyltransferase,1500E,GS10,C3
